onset	duration	trial_type	large_amount	later_delay
0.0	1.011	fmri_buffer	stim	stim
1.011	1.519	test_start_block	stim	stim
2.53	5.84	stim	31.0	76.0
8.37	4.58	stim	43.0	19.0
12.95	4.639	stim	60.0	124.0
17.589	4.919	stim	27.0	142.0
22.508	4.52	stim	25.0	70.0
27.028	4.98	stim	44.0	92.0
32.008	4.921	stim	41.0	27.0
36.929	4.579	stim	64.0	89.0
41.508	4.52	stim	78.0	108.0
46.028	6.221	stim	80.0	145.0
52.249	4.72	stim	41.0	174.0
56.969	5.06	stim	42.0	145.0
62.029	5.06	stim	36.0	114.0
67.089	5.199	stim	58.0	55.0
72.288	4.98	stim	81.0	58.0
77.268	4.781	stim	32.0	111.0
82.049	4.778	stim	25.0	141.0
86.827	5.181	stim	67.0	23.0
92.008	5.201	stim	77.0	161.0
97.209	5.26	stim	55.0	163.0
102.469	4.579	stim	40.0	159.0
107.048	4.52	stim	76.0	161.0
111.568	4.92	stim	48.0	128.0
116.488	4.581	stim	39.0	95.0
121.069	6.219	stim	83.0	105.0
127.288	4.91	stim	67.0	41.0
132.198	5.27	stim	56.0	172.0
137.468	5.061	stim	28.0	123.0
142.529	4.64	stim	50.0	129.0
147.169	4.72	stim	23.0	61.0
151.889	4.64	stim	79.0	92.0
156.529	4.579	stim	61.0	141.0
161.108	4.58	stim	43.0	38.0
165.688	4.92	stim	66.0	145.0
170.608	4.862	stim	30.0	23.0
175.47	5.258	stim	32.0	57.0
180.728	4.78	stim	27.0	91.0
185.508	6.011	stim	43.0	120.0
191.519	5.6	stim	75.0	60.0
197.119	4.575	stim	34.0	176.0
201.694	5.124	stim	24.0	38.0
206.818	5.661	stim	82.0	74.0
212.479	4.579	stim	58.0	53.0
217.058	4.781	stim	54.0	23.0
221.839	5.06	stim	41.0	55.0
226.899	4.859	stim	77.0	142.0
231.758	5.2	stim	25.0	108.0
236.958	5.058	stim	33.0	163.0
242.016	4.984	stim	29.0	75.0
247.0	4.979	stim	45.0	157.0
251.979	5.32	stim	31.0	74.0
257.299	4.52	stim	80.0	39.0
261.819	5.06	stim	22.0	21.0
266.879	4.72	stim	52.0	139.0
271.599	4.86	stim	54.0	126.0
276.459	6.749	stim	23.0	176.0
283.208	4.521	stim	24.0	87.0
287.729	4.57	stim	36.0	140.0
292.299	4.72	stim	35.0	171.0
297.019	4.919	stim	34.0	43.0
301.938	4.581	stim	74.0	121.0
306.519	7.519	rest_block	stim	stim
314.038	5.78	stim	45.0	107.0
319.818	4.64	stim	77.0	24.0
324.458	4.582	stim	39.0	161.0
329.04	5.459	stim	62.0	180.0
334.499	5.399	stim	24.0	139.0
339.898	4.575	stim	58.0	72.0
344.473	6.275	stim	56.0	93.0
350.748	5.54	stim	45.0	26.0
356.288	4.581	stim	23.0	42.0
360.869	4.65	stim	50.0	41.0
365.519	4.639	stim	25.0	176.0
370.158	5.12	stim	54.0	22.0
375.278	5.32	stim	29.0	44.0
380.598	4.57	stim	24.0	89.0
385.168	4.58	stim	23.0	77.0
389.748	4.58	stim	27.0	130.0
394.328	4.861	stim	23.0	134.0
399.189	4.519	stim	55.0	107.0
403.708	5.66	stim	44.0	143.0
409.368	4.92	stim	23.0	110.0
414.288	4.641	stim	65.0	156.0
418.929	4.521	stim	22.0	27.0
423.45	4.518	stim	50.0	59.0
427.968	5.12	stim	85.0	129.0
433.088	6.14	stim	66.0	58.0
439.228	4.86	stim	49.0	172.0
444.088	4.581	stim	73.0	44.0
448.669	4.72	stim	58.0	73.0
453.389	5.88	stim	71.0	76.0
459.269	4.64	stim	67.0	74.0
463.909	5.32	stim	29.0	58.0
469.229	4.98	stim	39.0	104.0
474.209	4.579	stim	33.0	103.0
478.788	5.54	stim	33.0	78.0
484.328	5.6	stim	74.0	52.0
489.928	5.8	stim	28.0	132.0
495.728	4.58	stim	28.0	59.0
500.308	5.12	stim	28.0	163.0
505.428	4.521	stim	32.0	74.0
509.949	4.86	stim	57.0	89.0
514.809	4.579	stim	70.0	108.0
519.388	5.4	stim	72.0	95.0
524.788	5.06	stim	30.0	36.0
529.848	4.72	stim	41.0	129.0
534.568	4.92	stim	78.0	129.0
539.488	4.916	stim	71.0	88.0
544.404	4.845	stim	65.0	159.0
549.249	5.12	stim	24.0	125.0
554.369	5.119	stim	58.0	36.0
559.488	4.721	stim	63.0	37.0
564.209	4.86	stim	75.0	41.0
569.069	4.86	stim	45.0	72.0
573.929	6.899	stim	25.0	74.0
580.828	4.581	stim	65.0	137.0
585.409	4.789	stim	49.0	140.0
590.198	7.03	stim	67.0	103.0
597.228	4.72	stim	69.0	172.0
601.948	5.199	stim	66.0	71.0
607.147	5.063	stim	71.0	176.0
612.21	8.008	end	stim	stim
