onset	duration	trial_type
0.01	6.52	experimental
6.53	3.12	pointing_experimental
9.65	2.4	fixation
12.05	5.95	experimental
18.0	0.37	pointing_experimental
18.37	3.44	fixation
21.81	6.16	experimental
27.97	4.42	pointing_experimental
32.39	4.58	fixation
36.97	6.05	experimental
43.02	7.8	pointing_experimental
50.82	4.36	fixation
55.18	6.4	experimental
61.58	0.44	pointing_experimental
62.02	2.93	fixation
64.95	6.59	experimental
71.54	0.16	pointing_experimental
71.7	4.85	fixation
76.55	6.33	experimental
82.88	4.07	pointing_experimental
86.95	4.56	fixation
91.51	6.14	experimental
97.65	4.06	pointing_experimental
101.71	4.11	fixation
105.82	6.57	control
112.39	3.37	pointing_control
115.76	3.87	fixation
119.63	6.16	control
125.79	1.36	pointing_control
127.15	4.65	fixation
131.8	5.88	control
137.68	1.6	pointing_control
139.28	2.5	fixation
141.78	6.68	control
148.46	0.1	pointing_control
148.56	169.27	fixation
