onset	duration	trial_type	score
9.786	3.269	face	64
16.269	5.209	face	24
25.301	3.755	face	61
30.25	3.561	face	53
35.483	2.696	face	25
41.465	2.94	face	33
47.148	3.64	face	59
52.397	2.251	face	9
56.797	5.772	face	48
65.245	4.438	face	48
71.695	3.545	face	76
77.127	2.757	face	1
80.877	4.168	face	64
88.526	3.776	face	45
93.158	3.25	face	82
98.891	2.702	face	36
104.207	3.257	face	15
108.806	4.157	face	43
114.439	3.373	face	1
120.754	4.253	face	75
125.954	3.692	face	77
130.703	4.16	face	40
139.218	2.291	face	100
143.451	3.774	face	85
150.234	2.977	face	1
157.433	2.838	face	48
163.148	4.382	face	73
168.664	2.937	face	37
173.814	2.802	face	53
177.146	1.888	face	87
183.196	1.868	face	1
186.878	2.76	face	63
194.127	2.686	face	100
199.227	2.169	face	54
202.06	2.181	face	61
205.776	3.165	face	90
213.225	3.06	face	64
220.707	2.972	face	100
227.04	2.806	face	100
230.439	3.321	face	69
237.188	3.395	face	61
243.137	3.761	face	20
248.986	4.073	face	58
253.869	3.679	face	68
260.701	2.92	face	75
267.717	2.828	face	43
273.633	2.76	face	1
280.415	3.227	face	1
285.931	2.713	face	85
292.33	2.819	face	81
296.413	2.518	face	14
300.346	4.101	face	46
308.328	1.765	face	40
310.828	2.123	face	92
314.694	2.194	face	38
320.643	3.953	face	48
328.559	2.604	face	52
333.508	3.311	face	54
340.374	2.51	face	3
345.69	2.808	face	42
