onset	duration	trial_type	score
7.296	3.239	food	75
14.412	2.984	food	7
19.478	2.447	food	64
25.077	2.839	food	1
31.66	1.884	food	87
35.426	3.087	food	44
41.325	2.169	food	1
47.657	3.234	food	4
53.24	1.971	food	12
56.273	2.495	food	12
62.589	1.863	food	100
67.205	3.449	food	1
72.937	1.644	food	74
75.504	2.992	food	82
79.97	2.43	food	1
84.552	1.905	food	78
87.002	1.499	food	94
89.785	3.27	food	1
96.067	1.059	food	55
98.867	2.359	food	92
102.75	1.623	food	100
108.866	3.09	food	79
115.431	1.71	food	95
118.748	2.769	food	100
125.613	5.437	food	69
135.479	2.047	food	21
140.478	3.869	food	1
145.477	3.677	food	72
152.576	5.904	food	72
159.342	5.693	food	32
168.391	4.859	food	87
175.473	4.183	food	83
181.006	4.851	food	75
186.655	3.67	food	1
193.87	2.405	food	100
200.569	2.324	food	100
206.102	3.507	food	1
212.151	4.902	food	79
219.467	6.002	food	27
227.482	4.041	food	1
235.531	4.329	food	14
242.947	6.017	food	66
251.579	3.856	food	100
256.095	4.71	food	68
263.677	7.75	food	68
275.659	5.782	food	30
283.258	4.312	food	78
288.99	5.863	food	84
296.539	5.822	food	48
304.305	4.728	food	71
312.987	3.452	food	77
317.653	3.781	food	62
324.719	4.146	food	76
332.484	2.581	food	97
335.667	5.564	food	19
344.916	6.672	food	35
355.948	6.782	food	93
365.413	3.54	food	73
369.962	2.547	food	98
374.995	7.475	food	28
