onset	duration	trial_type	score
8.129	5.275	painting	1
15.412	3.821	painting	14
21.644	6.312	painting	63
28.893	10.581	painting	86
41.358	7.723	painting	91
52.906	4.856	painting	40
58.839	4.626	painting	80
65.138	4.519	painting	26
72.754	4.297	painting	57
77.803	7.36	painting	75
88.385	3.1	painting	11
95.034	3.786	painting	81
99.683	3.083	painting	89
106.116	4.42	painting	18
114.148	5.578	painting	25
122.08	5.577	painting	58
128.862	6.98	painting	78
139.794	5.177	painting	27
146.31	3.2	painting	90
151.793	2.196	painting	15
156.542	3.136	painting	25
160.808	6.484	painting	98
168.09	5.301	painting	87
176.406	1.475	painting	62
181.288	3.432	painting	55
189.221	5.801	painting	10
198.169	8.797	painting	25
210.451	6.916	painting	82
218.033	3.95	painting	8
223.466	4.341	painting	2
229.348	2.588	painting	70
234.148	2.849	painting	66
238.414	3.001	painting	24
243.03	4.028	painting	91
247.596	7.799	painting	31
257.345	6.254	painting	8
266.543	7.363	painting	24
276.592	3.068	painting	1
283.891	4.78	painting	1
293.04	6.161	painting	81
301.288	4.214	painting	9
309.671	3.696	painting	1
316.12	5.734	painting	100
325.135	4.505	painting	100
330.918	4.033	painting	22
339.233	6.348	painting	63
347.382	6.111	painting	36
355.647	9.469	painting	58
368.862	2.572	painting	30
375.111	4.324	painting	93
382.244	7.641	painting	43
390.893	6.858	painting	19
401.824	7.015	painting	89
412.873	4.887	painting	100
420.638	2.801	painting	100
425.921	3.025	painting	19
429.537	9.191	painting	38
441.336	7.79	painting	78
453.55	5.003	painting	5
462.449	2.521	painting	9
