onset	duration	trial_type	score
7.022	10.285	face	80
20.52	3.076	face	18
26.603	2.802	face	8
31.552	4.334	face	32
37.351	6.016	face	37
46.117	3.112	face	73
52.982	2.308	face	72
57.765	3.586	face	81
63.631	9.448	face	51
76.779	4.565	face	90
82.612	2.667	face	86
85.944	6.813	face	11
94.777	6.211	face	1
101.792	5.198	face	29
107.741	6.11	face	1
115.657	7.347	face	29
126.889	4.823	face	80
135.537	9.304	face	49
149.202	4.085	face	59
155.968	3.641	face	74
163.634	4.024	face	64
170.016	8.904	face	17
182.881	7.483	face	64
191.78	3.489	face	70
197.212	7.882	face	57
206.978	5.935	face	52
213.86	5.18	face	73
221.859	6.706	face	75
232.174	3.334	face	50
238.99	9.718	face	39
251.855	3.149	face	24
257.42	3.261	face	16
265.169	8.107	face	65
276.151	7.705	face	38
286.4	4.522	face	89
293.999	5.49	face	75
300.498	4.496	face	69
306.747	4.698	face	33
315.612	3.911	face	63
321.145	6.643	face	25
331.21	5.843	face	53
341.475	8.686	face	90
353.724	3.974	face	42
359.04	6.884	face	82
368.872	4.361	face	75
375.454	8.388	face	85
384.919	3.972	face	38
392.185	5.035	face	17
400.567	7.22	face	60
411.882	5.416	face	29
417.831	5.588	face	100
427.647	3.69	face	100
431.946	9.378	face	2
443.411	10.129	face	81
454.76	4.438	face	87
463.508	2.318	face	100
467.374	3.806	face	27
472.874	6.107	face	86
481.589	4.298	face	78
487.022	4.841	face	22
