onset	duration	trial_type
5.52	8.28	encoding_start
13.8	7.86	intersection_3
21.66	4.39	navigation
26.05	7.94	intersection_0
33.99	4.94	navigation
38.93	12.52	intersection_0
51.45	0.2	navigation
51.65	7.85	intersection_0
59.5	5.57	navigation
65.07	8.0	intersection_1
73.07	13.5	navigation
86.57	7.91	intersection_1
94.48	6.09	navigation
100.57	7.94	intersection_1
108.51	4.23	navigation
112.74	7.92	intersection_2
120.66	5.64	navigation
126.3	7.95	intersection_2
134.25	6.62	navigation
140.87	8.13	intersection_2
149.0	4.06	navigation
153.06	7.86	intersection_3
160.92	4.72	navigation
165.64	7.91	intersection_3
173.55	5.16	navigation
178.71	0.01	encoding_end
178.72	6.29	experimental
185.01	2.96	pointing_experimental
187.97	4.1	fixation
192.07	6.56	experimental
198.63	4.3	pointing_experimental
202.93	1.96	fixation
204.89	5.93	experimental
210.82	0.1	pointing_experimental
210.92	4.32	fixation
215.24	5.96	experimental
221.2	1.35	pointing_experimental
222.55	3.46	fixation
226.01	6.09	experimental
232.1	8.19	pointing_experimental
240.29	3.0	fixation
243.29	6.51	experimental
249.8	0.09	pointing_experimental
249.89	4.52	fixation
254.41	6.27	experimental
260.68	3.98	pointing_experimental
264.66	4.64	fixation
269.3	6.35	experimental
275.65	4.84	pointing_experimental
280.49	3.73	fixation
284.22	5.94	control
290.16	3.25	pointing_control
293.41	4.14	fixation
297.55	6.7	control
304.25	1.83	pointing_control
306.08	5.0	fixation
311.08	6.46	control
317.54	3.04	pointing_control
320.58	2.63	fixation
323.21	6.46	control
329.67	1.03	pointing_control
330.7	157.97	fixation
