onset	duration	trial_type	large_amount	later_delay
0.0	1.008	fmri_buffer	stim	stim
1.008	1.507	test_start_block	stim	stim
2.515	5.838	stim	31.0	76.0
8.353	4.582	stim	43.0	19.0
12.935	4.643	stim	60.0	124.0
17.578	4.921	stim	27.0	142.0
22.499	4.503	stim	25.0	70.0
27.002	4.992	stim	44.0	92.0
31.994	4.922	stim	41.0	27.0
36.916	4.585	stim	64.0	89.0
41.501	4.516	stim	78.0	108.0
46.017	6.212	stim	80.0	145.0
52.229	4.706	stim	41.0	174.0
56.935	5.056	stim	42.0	145.0
61.991	5.061	stim	36.0	114.0
67.052	5.193	stim	58.0	55.0
72.245	4.986	stim	81.0	58.0
77.231	4.783	stim	32.0	111.0
82.014	4.781	stim	25.0	141.0
86.795	5.189	stim	67.0	23.0
91.984	5.183	stim	77.0	161.0
97.167	5.261	stim	55.0	163.0
102.428	4.573	stim	40.0	159.0
107.001	4.505	stim	76.0	161.0
111.506	4.925	stim	48.0	128.0
116.431	4.579	stim	39.0	95.0
121.01	6.208	stim	83.0	105.0
127.218	4.919	stim	67.0	41.0
132.137	5.264	stim	56.0	172.0
137.401	5.054	stim	28.0	123.0
142.455	4.649	stim	50.0	129.0
147.104	4.714	stim	23.0	61.0
151.818	4.652	stim	79.0	92.0
156.47	4.575	stim	61.0	141.0
161.045	4.582	stim	43.0	38.0
165.627	4.916	stim	66.0	145.0
170.543	4.854	stim	30.0	23.0
175.397	5.256	stim	32.0	57.0
180.653	4.785	stim	27.0	91.0
185.438	6.013	stim	43.0	120.0
191.451	5.599	stim	75.0	60.0
197.05	4.58	stim	34.0	176.0
201.63	5.123	stim	24.0	38.0
206.753	5.659	stim	82.0	74.0
212.412	4.572	stim	58.0	53.0
216.984	4.78	stim	54.0	23.0
221.764	5.056	stim	41.0	55.0
226.82	4.85	stim	77.0	142.0
231.67	5.192	stim	25.0	108.0
236.862	5.05	stim	33.0	163.0
241.912	4.985	stim	29.0	75.0
246.897	4.987	stim	45.0	157.0
251.884	5.332	stim	31.0	74.0
257.216	4.505	stim	80.0	39.0
261.721	5.059	stim	22.0	21.0
266.78	4.719	stim	52.0	139.0
271.499	4.848	stim	54.0	126.0
276.347	6.807	stim	23.0	176.0
283.154	4.502	stim	24.0	87.0
287.656	4.579	stim	36.0	140.0
292.235	4.719	stim	35.0	171.0
296.954	4.913	stim	34.0	43.0
301.867	4.586	stim	74.0	121.0
306.453	7.511	rest_block	stim	stim
313.964	5.785	stim	45.0	107.0
319.749	4.643	stim	77.0	24.0
324.392	4.572	stim	39.0	161.0
328.964	5.462	stim	62.0	180.0
334.426	5.391	stim	24.0	139.0
339.817	4.576	stim	58.0	72.0
344.393	6.279	stim	56.0	93.0
350.672	5.528	stim	45.0	26.0
356.2	4.584	stim	23.0	42.0
360.784	4.647	stim	50.0	41.0
365.431	4.643	stim	25.0	176.0
370.074	5.113	stim	54.0	22.0
375.187	5.324	stim	29.0	44.0
380.511	4.581	stim	24.0	89.0
385.092	4.574	stim	23.0	77.0
389.666	4.583	stim	27.0	130.0
394.249	4.842	stim	23.0	134.0
399.091	4.509	stim	55.0	107.0
403.6	5.665	stim	44.0	143.0
409.265	4.914	stim	23.0	110.0
414.179	4.639	stim	65.0	156.0
418.818	4.519	stim	22.0	27.0
423.337	4.516	stim	50.0	59.0
427.853	5.125	stim	85.0	129.0
432.978	6.146	stim	66.0	58.0
439.124	4.845	stim	49.0	172.0
443.969	4.572	stim	73.0	44.0
448.541	4.714	stim	58.0	73.0
453.255	5.877	stim	71.0	76.0
459.132	4.652	stim	67.0	74.0
463.784	5.326	stim	29.0	58.0
469.11	4.987	stim	39.0	104.0
474.097	4.583	stim	33.0	103.0
478.68	5.535	stim	33.0	78.0
484.215	5.604	stim	74.0	52.0
489.819	5.806	stim	28.0	132.0
495.625	4.575	stim	28.0	59.0
500.2	5.126	stim	28.0	163.0
505.326	4.504	stim	32.0	74.0
509.83	4.85	stim	57.0	89.0
514.68	4.581	stim	70.0	108.0
519.261	5.395	stim	72.0	95.0
524.656	5.058	stim	30.0	36.0
529.714	4.707	stim	41.0	129.0
534.421	4.91	stim	78.0	129.0
539.331	4.92	stim	71.0	88.0
544.251	4.855	stim	65.0	159.0
549.106	5.125	stim	24.0	125.0
554.231	5.118	stim	58.0	36.0
559.349	4.706	stim	63.0	37.0
564.055	4.856	stim	75.0	41.0
568.911	4.847	stim	45.0	72.0
573.758	6.882	stim	25.0	74.0
580.64	4.58	stim	65.0	137.0
585.22	4.778	stim	49.0	140.0
589.998	7.028	stim	67.0	103.0
597.026	4.709	stim	69.0	172.0
601.735	5.197	stim	66.0	71.0
606.932	5.046	stim	71.0	176.0
611.978	16.179	end	stim	stim
