onset	duration	trial_type	score
10.468	6.373	house	29
21.067	10.242	house	2
35.598	3.059	house	1
41.664	8.23	house	69
51.229	1.915	house	1
56.495	2.73	house	1
62.644	4.271	house	53
70.793	4.451	house	1
75.842	2.053	house	1
79.842	3.391	house	60
85.774	5.977	house	52
92.473	5.306	house	75
100.122	3.408	house	100
106.005	1.69	house	29
112.054	3.436	house	72
117.103	6.049	house	10
124.302	3.016	house	1
128.252	1.525	house	1
132.651	7.056	house	20
143.0	2.138	house	1
147.282	3.95	house	1
152.298	2.092	house	1
156.198	8.586	house	28
169.196	2.649	house	14
173.262	2.544	house	1
179.495	4.903	house	41
185.61	3.275	house	11
189.543	7.469	house	18
200.092	7.118	house	61
211.024	3.679	house	18
218.806	4.157	house	5
224.838	6.601	house	83
235.47	1.762	house	16
239.52	5.047	house	78
246.035	7.899	house	64
256.75	2.389	house	2
260.883	1.915	house	1
263.8	1.554	house	1
267.966	2.715	house	1
274.231	7.231	house	10
282.264	6.023	house	1
289.829	6.154	house	55
298.195	6.453	house	18
309.143	3.799	house	12
315.359	5.661	house	1
321.558	3.709	house	1
328.49	5.114	house	51
334.873	8.283	house	1
346.638	4.078	house	23
352.737	1.62	house	4
356.437	2.346	house	1
360.469	10.406	house	1
374.501	2.93	house	1
378.3	1.971	house	1
383.416	4.493	house	74
390.865	6.929	house	17
400.48	1.945	house	1
405.18	1.753	house	1
410.879	2.949	house	26
417.978	1.998	house	1
