onset	duration	trial_type	score
10.844	2.669	painting	29
14.177	5.491	painting	73
21.875	8.55	painting	51
33.774	4.849	painting	12
41.239	2.33	painting	1
44.989	1.545	painting	1
50.621	1.823	painting	1
53.038	3.25	painting	33
58.17	6.824	painting	42
67.336	4.048	painting	25
73.318	2.162	painting	1
77.634	3.983	painting	80
82.617	4.936	painting	1
88.833	4.407	painting	82
94.182	4.558	painting	70
100.748	4.414	painting	26
106.914	1.183	painting	35
112.046	3.418	painting	94
116.945	4.01	painting	69
123.245	2.258	painting	1
126.844	2.224	painting	1
129.594	1.717	painting	1
135.66	10	painting_too-slow	n/a
152.407	2.73	painting	94
157.956	4.899	painting	9
166.539	4.478	painting	70
172.704	2.498	painting	1
177.887	3.72	painting	41
182.403	2.947	painting	1
188.436	5.361	painting	77
198.301	4.154	painting	13
203.183	3.573	painting	74
209.699	3.061	painting	30
216.315	4.906	painting	1
225.047	5.519	painting	70
234.729	3.95	painting	83
242.561	2.818	painting	1
247.794	1.706	painting	1
251.11	5.457	painting	23
258.109	3.393	painting	1
264.725	7.801	painting	26
276.023	5.9	painting	26
282.806	2.336	painting	1
288.422	5.073	painting	9
297.72	6.042	painting	9
306.519	8.3	painting	1
315.968	2.882	painting	1
323.283	2.075	painting	1
328.233	2.02	painting	1
331.449	3.803	painting	78
337.331	2.315	painting	1
343.264	6.027	painting	65
352.446	5.157	painting	74
358.678	1.74	painting	5
362.894	6.052	painting	100
371.96	6.493	painting	26
380.259	5.609	painting	1
389.907	3.336	painting	81
396.656	6.276	painting	90
405.489	3.907	painting	36
413.154	7.835	painting	94
