onset	duration	trial_type	score
10.362	6.219	painting	80
17.911	7.267	painting	20
29.009	4.123	painting	1
36.875	3.461	painting	56
43.29	2.214	painting	11
46.523	5.114	painting	1
52.522	2.306	painting	47
57.705	4.01	painting	7
64.271	3.547	painting	33
69.77	5.439	painting	67
77.552	9.921	painting	53
89.95	2.028	painting	22
95.0	6.407	painting	89
101.999	3.96	painting	20
107.698	1.751	painting	1
113.331	4.552	painting	75
118.546	3.395	painting	60
126.445	6.62	painting	10
137.494	4.101	painting	45
145.826	3.077	painting	8
149.709	6.624	painting	41
159.091	2.04	painting	1
163.14	2.061	painting	1
166.606	2.882	painting	53
171.372	2.074	painting	1
176.255	1.652	painting	1
179.721	3.146	painting	1
186.354	3.492	painting	64
192.12	4.746	painting	22
200.485	6.331	painting	100
209.9	3.957	painting	57
215.333	3.415	painting	9
219.966	2.85	painting	36
223.882	3.561	painting	35
230.131	3.518	painting	18
237.746	8.316	painting	59
250.095	2.674	painting	29
256.111	5.699	painting	48
265.226	2.639	painting	2
268.392	4.236	painting	9
274.225	6.172	painting	28
284.69	3.053	painting	28
290.156	3.0	painting	86
296.705	2.09	painting	81
300.938	6.23	painting	35
311.336	3.775	painting	56
316.236	2.35	painting	1
319.318	5.418	painting	6
327.884	1.674	painting	1
331.767	3.758	painting	31
336.799	3.123	painting	76
343.198	2.309	painting	58
347.048	2.845	painting	54
351.981	5.557	painting	89
360.763	4.354	painting	31
367.728	3.217	painting	1
372.628	3.026	painting	23
380.01	3.821	painting	41
387.509	1.787	painting	1
390.225	4.347	painting	26
