onset	duration	trial_type	large_amount	later_delay
0.0	1.017	fmri_buffer	stim	stim
1.017	1.509	test_start_block	stim	stim
2.526	5.839	stim	31.0	76.0
8.365	4.579	stim	43.0	19.0
12.944	4.659	stim	60.0	124.0
17.603	4.92	stim	27.0	142.0
22.523	4.51	stim	25.0	70.0
27.033	4.979	stim	44.0	92.0
32.012	4.921	stim	41.0	27.0
36.933	4.58	stim	64.0	89.0
41.513	4.511	stim	78.0	108.0
46.024	6.22	stim	80.0	145.0
52.244	4.719	stim	41.0	174.0
56.963	5.062	stim	42.0	145.0
62.025	5.058	stim	36.0	114.0
67.083	5.201	stim	58.0	55.0
72.284	4.988	stim	81.0	58.0
77.272	4.781	stim	32.0	111.0
82.053	4.78	stim	25.0	141.0
86.833	5.2	stim	67.0	23.0
92.033	5.201	stim	77.0	161.0
97.234	5.259	stim	55.0	163.0
102.493	4.592	stim	40.0	159.0
107.085	4.508	stim	76.0	161.0
111.593	4.919	stim	48.0	128.0
116.512	4.591	stim	39.0	95.0
121.103	6.211	stim	83.0	105.0
127.314	4.919	stim	67.0	41.0
132.233	5.27	stim	56.0	172.0
137.503	5.061	stim	28.0	123.0
142.564	4.65	stim	50.0	129.0
147.214	4.71	stim	23.0	61.0
151.924	4.66	stim	79.0	92.0
156.584	4.579	stim	61.0	141.0
161.163	4.58	stim	43.0	38.0
165.743	4.92	stim	66.0	145.0
170.663	4.861	stim	30.0	23.0
175.524	5.27	stim	32.0	57.0
180.794	4.778	stim	27.0	91.0
185.572	6.011	stim	43.0	120.0
191.583	5.6	stim	75.0	60.0
197.183	4.581	stim	34.0	176.0
201.764	5.12	stim	24.0	38.0
206.884	5.658	stim	82.0	74.0
212.542	4.582	stim	58.0	53.0
217.124	4.788	stim	54.0	23.0
221.912	5.061	stim	41.0	55.0
226.973	4.85	stim	77.0	142.0
231.823	5.201	stim	25.0	108.0
237.024	5.048	stim	33.0	163.0
242.072	4.98	stim	29.0	75.0
247.052	4.991	stim	45.0	157.0
252.043	5.33	stim	31.0	74.0
257.373	4.52	stim	80.0	39.0
261.893	5.05	stim	22.0	21.0
266.943	4.711	stim	52.0	139.0
271.654	4.859	stim	54.0	126.0
276.513	6.8	stim	23.0	176.0
283.313	4.51	stim	24.0	87.0
287.823	4.579	stim	36.0	140.0
292.402	4.711	stim	35.0	171.0
297.113	4.919	stim	34.0	43.0
302.032	4.58	stim	74.0	121.0
306.612	7.522	rest_block	stim	stim
314.134	5.809	stim	45.0	107.0
319.943	4.65	stim	77.0	24.0
324.593	4.59	stim	39.0	161.0
329.183	5.47	stim	62.0	180.0
334.653	5.4	stim	24.0	139.0
340.053	4.59	stim	58.0	72.0
344.643	6.291	stim	56.0	93.0
350.934	5.538	stim	45.0	26.0
356.472	4.571	stim	23.0	42.0
361.043	4.651	stim	50.0	41.0
365.694	4.639	stim	25.0	176.0
370.333	5.12	stim	54.0	22.0
375.453	5.33	stim	29.0	44.0
380.783	4.581	stim	24.0	89.0
385.364	4.58	stim	23.0	77.0
389.944	4.579	stim	27.0	130.0
394.523	4.86	stim	23.0	134.0
399.383	4.51	stim	55.0	107.0
403.893	5.661	stim	44.0	143.0
409.554	4.92	stim	23.0	110.0
414.474	4.639	stim	65.0	156.0
419.113	4.524	stim	22.0	27.0
423.637	4.516	stim	50.0	59.0
428.153	5.12	stim	85.0	129.0
433.273	6.15	stim	66.0	58.0
439.423	4.86	stim	49.0	172.0
444.283	4.57	stim	73.0	44.0
448.853	4.72	stim	58.0	73.0
453.573	5.87	stim	71.0	76.0
459.443	4.641	stim	67.0	74.0
464.084	5.329	stim	29.0	58.0
469.413	4.99	stim	39.0	104.0
474.403	4.58	stim	33.0	103.0
478.983	5.53	stim	33.0	78.0
484.513	5.6	stim	74.0	52.0
490.113	5.812	stim	28.0	132.0
495.925	4.578	stim	28.0	59.0
500.503	5.121	stim	28.0	163.0
505.624	4.509	stim	32.0	74.0
510.133	4.86	stim	57.0	89.0
514.993	4.58	stim	70.0	108.0
519.573	5.4	stim	72.0	95.0
524.973	5.05	stim	30.0	36.0
530.023	4.711	stim	41.0	129.0
534.734	4.929	stim	78.0	129.0
539.663	4.92	stim	71.0	88.0
544.583	4.85	stim	65.0	159.0
549.433	5.121	stim	24.0	125.0
554.554	5.12	stim	58.0	36.0
559.674	4.709	stim	63.0	37.0
564.383	4.859	stim	75.0	41.0
569.242	4.861	stim	45.0	72.0
574.103	6.901	stim	25.0	74.0
581.004	4.59	stim	65.0	137.0
585.594	4.789	stim	49.0	140.0
590.383	7.02	stim	67.0	103.0
597.403	4.711	stim	69.0	172.0
602.114	5.188	stim	66.0	71.0
607.302	5.052	stim	71.0	176.0
612.354	21.382	end	stim	stim
