onset	duration	trial_type	large_amount	later_delay
0.0	1.009	fmri_buffer	stim	stim
1.009	1.519	test_start_block	stim	stim
2.528	5.838	stim	31.0	76.0
8.366	4.58	stim	43.0	19.0
12.946	4.639	stim	60.0	124.0
17.585	4.911	stim	27.0	142.0
22.496	4.521	stim	25.0	70.0
27.017	4.979	stim	44.0	92.0
31.996	4.93	stim	41.0	27.0
36.926	4.58	stim	64.0	89.0
41.506	4.511	stim	78.0	108.0
46.017	6.208	stim	80.0	145.0
52.225	4.721	stim	41.0	174.0
56.946	5.061	stim	42.0	145.0
62.007	5.049	stim	36.0	114.0
67.056	5.19	stim	58.0	55.0
72.246	4.991	stim	81.0	58.0
77.237	4.789	stim	32.0	111.0
82.026	4.792	stim	25.0	141.0
86.818	5.188	stim	67.0	23.0
92.006	5.2	stim	77.0	161.0
97.206	5.26	stim	55.0	163.0
102.466	4.581	stim	40.0	159.0
107.047	4.519	stim	76.0	161.0
111.566	4.92	stim	48.0	128.0
116.486	4.58	stim	39.0	95.0
121.066	6.219	stim	83.0	105.0
127.285	4.921	stim	67.0	41.0
132.206	5.271	stim	56.0	172.0
137.477	5.05	stim	28.0	123.0
142.527	4.648	stim	50.0	129.0
147.175	4.711	stim	23.0	61.0
151.886	4.641	stim	79.0	92.0
156.527	4.579	stim	61.0	141.0
161.106	4.59	stim	43.0	38.0
165.696	4.92	stim	66.0	145.0
170.616	4.86	stim	30.0	23.0
175.476	5.27	stim	32.0	57.0
180.746	4.789	stim	27.0	91.0
185.535	6.001	stim	43.0	120.0
191.536	5.6	stim	75.0	60.0
197.136	4.58	stim	34.0	176.0
201.716	5.12	stim	24.0	38.0
206.836	5.66	stim	82.0	74.0
212.496	4.58	stim	58.0	53.0
217.076	4.78	stim	54.0	23.0
221.856	5.05	stim	41.0	55.0
226.906	4.85	stim	77.0	142.0
231.756	5.199	stim	25.0	108.0
236.955	5.062	stim	33.0	163.0
242.017	4.989	stim	29.0	75.0
247.006	5.0	stim	45.0	157.0
252.006	5.32	stim	31.0	74.0
257.326	4.51	stim	80.0	39.0
261.836	5.06	stim	22.0	21.0
266.896	4.72	stim	52.0	139.0
271.616	4.85	stim	54.0	126.0
276.466	6.8	stim	23.0	176.0
283.266	4.509	stim	24.0	87.0
287.775	4.582	stim	36.0	140.0
292.357	4.708	stim	35.0	171.0
297.065	4.912	stim	34.0	43.0
301.977	4.589	stim	74.0	121.0
306.566	7.521	rest_block	stim	stim
314.087	5.798	stim	45.0	107.0
319.885	4.661	stim	77.0	24.0
324.546	4.578	stim	39.0	161.0
329.124	5.462	stim	62.0	180.0
334.586	5.39	stim	24.0	139.0
339.976	4.58	stim	58.0	72.0
344.556	6.281	stim	56.0	93.0
350.837	5.529	stim	45.0	26.0
356.366	4.59	stim	23.0	42.0
360.956	4.639	stim	50.0	41.0
365.595	4.641	stim	25.0	176.0
370.236	5.13	stim	54.0	22.0
375.366	5.32	stim	29.0	44.0
380.686	4.59	stim	24.0	89.0
385.276	4.58	stim	23.0	77.0
389.856	4.581	stim	27.0	130.0
394.437	4.859	stim	23.0	134.0
399.296	4.521	stim	55.0	107.0
403.817	5.669	stim	44.0	143.0
409.486	4.919	stim	23.0	110.0
414.405	4.65	stim	65.0	156.0
419.055	4.523	stim	22.0	27.0
423.578	4.508	stim	50.0	59.0
428.086	5.131	stim	85.0	129.0
433.217	6.149	stim	66.0	58.0
439.366	4.851	stim	49.0	172.0
444.217	4.589	stim	73.0	44.0
448.806	4.72	stim	58.0	73.0
453.526	5.87	stim	71.0	76.0
459.396	4.64	stim	67.0	74.0
464.036	5.33	stim	29.0	58.0
469.366	4.99	stim	39.0	104.0
474.356	4.58	stim	33.0	103.0
478.936	5.541	stim	33.0	78.0
484.477	5.609	stim	74.0	52.0
490.086	5.81	stim	28.0	132.0
495.896	4.591	stim	28.0	59.0
500.487	5.129	stim	28.0	163.0
505.616	4.52	stim	32.0	74.0
510.136	4.85	stim	57.0	89.0
514.986	4.581	stim	70.0	108.0
519.567	5.389	stim	72.0	95.0
524.956	5.061	stim	30.0	36.0
530.017	4.708	stim	41.0	129.0
534.725	4.911	stim	78.0	129.0
539.636	4.92	stim	71.0	88.0
544.556	4.85	stim	65.0	159.0
549.406	5.121	stim	24.0	125.0
554.527	5.129	stim	58.0	36.0
559.656	4.71	stim	63.0	37.0
564.366	4.859	stim	75.0	41.0
569.225	4.862	stim	45.0	72.0
574.087	6.897	stim	25.0	74.0
580.984	4.582	stim	65.0	137.0
585.566	4.773	stim	49.0	140.0
590.339	7.027	stim	67.0	103.0
597.366	4.711	stim	69.0	172.0
602.077	5.199	stim	66.0	71.0
607.276	5.05	stim	71.0	176.0
612.326	8.082	end	stim	stim
