onset	duration	trial_type	response
0.0238	8.8235	p_startup	other
8.8807	0.4402	grid	other
9.3209	1.5569	6_dots	other
10.8778	3.0402	maintenance	other
15.3209	1.0235	response	miss
16.3944	0.4235	grid	other
16.818	1.5235	2_dots_control	other
18.3414	3.0235	maintenance	other
22.8346	2.0235	response	miss
24.8915	0.4235	grid	other
25.315	1.5235	2_dots	other
26.8386	3.0402	maintenance	other
31.3151	3.0235	response	miss
34.3719	0.4402	grid	other
34.8122	1.5235	4_dots	other
36.3357	3.0402	maintenance	other
40.8287	2.0402	response	miss
42.9022	0.4402	grid	other
43.3424	1.5235	6_dots_control	other
44.8659	3.0234	maintenance	other
49.3424	1.5235	response	miss
50.8993	0.4402	grid	other
51.3395	1.5235	4_dots	other
52.863	3.0235	maintenance	other
57.3228	1.0235	response	miss
58.3797	0.4235	grid	other
58.8032	1.5235	4_dots_control	other
60.3267	3.0401	maintenance	other
64.8199	1.5235	response	miss
66.3767	0.4235	grid	other
66.8003	1.5235	6_dots_control	other
68.3238	3.0401	maintenance	other
72.8003	2.5235	response	miss
75.3572	0.4235	grid	other
75.7807	1.5235	4_dots_control	other
77.3042	3.0235	maintenance	other
81.7974	3.5402	response	miss
85.3709	0.4568	grid	other
85.8277	1.5402	6_dots_control	other
87.3679	3.0235	maintenance	other
91.7944	4.5235	response	miss
96.3512	0.4402	grid	other
96.7914	1.5235	2_dots	other
98.3149	3.0402	maintenance	other
102.7747	1.5235	response	miss
104.3315	0.4235	grid	other
104.755	1.5235	4_dots	other
106.2785	3.0235	maintenance	other
110.755	3.0568	response	miss
113.8619	0.4402	grid	other
114.3021	1.5402	4_dots_control	other
115.8423	3.0235	maintenance	other
120.2854	2.0235	response	miss
122.3423	0.4235	grid	other
122.7657	1.5402	6_dots	other
124.3059	3.0235	maintenance	other
128.7658	1.5402	response	miss
130.3393	0.4235	grid	other
130.7628	1.5401	2_dots	other
132.3029	3.0402	maintenance	other
136.7628	4.0402	response	miss
140.8363	0.4401	grid	other
141.2764	1.5402	2_dots_control	other
142.8166	3.0402	maintenance	other
147.2764	2.0402	response	miss
149.35	0.4402	grid	other
149.7901	1.5235	2_dots	other
151.3137	3.0235	maintenance	other
155.7735	3.0235	response	miss
158.8303	0.4235	grid	other
159.2538	1.5568	6_dots	other
160.8107	3.0235	maintenance	other
165.2705	1.0568	response	miss
166.3774	0.4402	grid	other
166.8176	1.5402	2_dots	other
168.3578	3.0235	maintenance	other
172.8176	3.5235	response	miss
176.3745	0.4402	grid	other
176.8146	1.5235	2_dots	other
178.3381	3.0235	maintenance	other
182.8146	2.5235	response	miss
185.3715	0.4568	grid	other
185.8283	1.5235	4_dots_control	other
187.3518	3.0235	maintenance	other
191.795	5.5235	response	miss
197.3518	0.4402	grid	other
197.792	1.5402	4_dots	other
199.3322	3.0402	maintenance	other
203.7753	1.5235	response	miss
205.3322	0.4235	grid	other
205.7557	1.5402	6_dots_control	other
207.2959	3.0235	maintenance	other
211.7557	5.0235	response	miss
216.8125	0.4235	grid	other
217.236	1.5235	6_dots	other
218.7595	3.0402	maintenance	other
223.236	6.0235	response	miss
229.2929	0.4402	grid	other
229.733	1.5401	4_dots_control	other
231.2731	3.0402	maintenance	other
235.7164	2.0235	response	miss
237.7732	0.4235	grid	other
238.1968	1.5402	2_dots_control	other
239.737	3.0235	maintenance	other
244.2134	1.5235	response	miss
245.7703	0.4402	grid	other
246.2105	1.5235	6_dots	other
247.734	3.0235	maintenance	other
252.2105	4.0235	response	miss
256.2673	0.4235	grid	other
256.6908	1.5235	6_dots_control	other
258.2143	3.0402	maintenance	other
262.7074	6.0402	response	miss
268.7809	0.4235	grid	other
269.2044	1.5235	4_dots	other
270.7279	3.0401	maintenance	other
275.2044	3.0235	response	miss
278.278	0.4235	grid	other
278.7014	1.5402	6_dots	other
280.2416	3.0235	maintenance	other
284.7182	4.0235	response	miss
288.775	0.4235	grid	other
289.1985	1.5235	2_dots_control	other
290.7221	3.0235	maintenance	other
295.2152	3.5235	response	miss
298.7721	0.4235	grid	other
299.1956	1.5402	2_dots_control	other
300.7357	3.0402	maintenance	other
305.1956	1.5235	response	miss
306.7524	0.4402	grid	other
307.1926	1.5402	4_dots_control	other
308.7328	3.0235	maintenance	other
313.1759	2.0402	response	miss
315.2494	0.4235	grid	other
315.6729	1.5402	2_dots_control	other
317.2131	3.0402	maintenance	other
321.673	5.5235	response	miss
327.2298	0.4235	grid	other
327.6533	1.5402	2_dots	other
329.1935	3.0235	maintenance	other
333.6533	6.0235	response	miss
339.7102	0.4235	grid	other
340.1337	1.5402	6_dots_control	other
341.6738	3.0235	maintenance	other
346.1504	3.0235	response	miss
349.2072	9.6607	Bfix	other
