onset	duration	trial_type	response
0.0239	8.8235	p_startup	other
8.8807	0.4235	grid	other
9.3043	1.5402	6_dots_control	other
10.8445	3.0235	maintenance	other
15.3043	1.5402	response	miss
16.8778	0.4568	grid	other
17.3346	1.5235	2_dots	other
18.8581	3.0235	maintenance	other
23.3013	2.5235	response	miss
25.8582	0.4235	grid	other
26.2817	1.5235	2_dots	other
27.8052	3.0235	maintenance	other
32.2817	4.5235	response	miss
36.8386	0.4235	grid	other
37.2621	1.5402	4_dots_control	other
38.8023	3.0235	maintenance	other
43.2788	6.0402	response	miss
49.3523	0.4235	grid	other
49.7758	1.5402	2_dots_control	other
51.316	3.0401	maintenance	other
55.7925	2.0402	response	miss
57.866	0.4402	grid	other
58.3062	1.5235	4_dots	other
59.8298	3.0402	maintenance	other
64.2896	1.5402	response	miss
65.8631	0.4235	grid	other
66.2866	1.5235	2_dots_control	other
67.8101	3.0235	maintenance	other
72.3032	1.5235	response	miss
73.8601	0.4235	grid	other
74.2836	1.5402	6_dots	other
75.8238	3.0401	maintenance	other
80.2836	4.5402	response	miss
84.8571	0.4235	grid	other
85.2807	1.5402	2_dots_control	other
86.8209	3.0235	maintenance	other
91.2807	1.0235	response	miss
92.3375	0.4235	grid	other
92.7611	1.5568	6_dots_control	other
94.3179	3.0235	maintenance	other
98.7611	4.5235	response	miss
103.3346	0.4235	grid	other
103.7581	1.5402	6_dots	other
105.2983	3.0235	maintenance	other
109.7581	3.5402	response	miss
113.3316	0.4401	grid	other
113.7717	1.5402	2_dots_control	other
115.3119	3.0235	maintenance	other
119.7551	1.5235	response	miss
121.312	0.4235	grid	other
121.7355	1.5235	4_dots_control	other
123.259	3.0402	maintenance	other
127.7521	1.5402	response	miss
129.3257	0.4235	grid	other
129.7492	1.5235	6_dots	other
131.2727	3.0235	maintenance	other
135.7659	2.5236	response	miss
138.3228	0.4402	grid	other
138.7629	1.5235	4_dots_control	other
140.2865	3.0402	maintenance	other
144.763	3.5402	response	miss
148.3365	0.4401	grid	other
148.7766	1.5235	6_dots_control	other
150.3001	3.0402	maintenance	other
154.76	1.5402	response	miss
156.3335	0.4402	grid	other
156.7737	1.5235	4_dots_control	other
158.2972	3.0402	maintenance	other
162.7737	2.0402	response	miss
164.8472	0.4235	grid	other
165.2708	1.5235	4_dots	other
166.7943	3.0235	maintenance	other
171.2874	4.0404	response	miss
175.3612	0.4569	grid	other
175.8181	1.5402	6_dots	other
177.3583	3.0402	maintenance	other
181.8181	6.0235	response	miss
187.875	0.4235	grid	other
188.2985	1.5402	6_dots_control	other
189.8387	3.0235	maintenance	other
194.3151	3.0235	response	miss
197.372	0.4235	grid	other
197.7955	1.5235	6_dots_control	other
199.319	3.0235	maintenance	other
203.7955	2.5402	response	miss
206.3691	0.4402	grid	other
206.8092	1.5402	2_dots	other
208.3494	3.0235	maintenance	other
212.7926	1.5235	response	miss
214.3494	0.4402	grid	other
214.7896	1.5235	4_dots	other
216.3131	3.0402	maintenance	other
220.7896	1.5235	response	miss
222.3465	0.4402	grid	other
222.7866	1.5235	4_dots_control	other
224.3102	3.0235	maintenance	other
228.7867	3.5235	response	miss
232.3435	0.4402	grid	other
232.7837	1.5402	4_dots_control	other
234.3239	3.0402	maintenance	other
238.7837	2.5235	response	miss
241.3406	0.4235	grid	other
241.7641	1.5235	4_dots	other
243.2877	3.0402	maintenance	other
247.7641	3.0402	response	miss
250.8377	0.4235	grid	other
251.2612	1.5569	2_dots	other
252.8181	3.0235	maintenance	other
257.2612	4.5235	response	miss
261.8347	0.4402	grid	other
262.2749	1.5402	4_dots	other
263.8151	3.0235	maintenance	other
268.2582	4.5402	response	miss
272.8318	0.4235	grid	other
273.2553	1.5402	6_dots_control	other
274.7955	3.0235	maintenance	other
279.2553	3.0402	response	miss
282.3288	0.4235	grid	other
282.7523	1.5402	2_dots_control	other
284.2925	3.0402	maintenance	other
288.7523	1.5235	response	miss
290.3091	0.4235	grid	other
290.7326	1.5235	6_dots	other
292.2561	3.0402	maintenance	other
296.7493	1.5402	response	miss
298.3229	0.4402	grid	other
298.763	1.5402	2_dots	other
300.3032	3.0235	maintenance	other
304.763	5.0402	response	miss
309.8366	0.4235	grid	other
310.2601	1.5235	2_dots	other
311.7836	3.0402	maintenance	other
316.2768	6.0402	response	miss
322.3503	0.4235	grid	other
322.7738	1.5235	4_dots	other
324.2974	3.0235	maintenance	other
328.7905	4.5235	response	miss
333.3474	0.4235	grid	other
333.7708	1.5235	6_dots	other
335.2943	3.0235	maintenance	other
339.7875	4.0402	response	miss
343.8611	0.4235	grid	other
344.2846	1.5402	2_dots_control	other
345.8248	3.0402	maintenance	other
350.318	1.5402	response	miss
351.8915	9.5609	Bfix	other
