onset	duration	trial_type	score
10.286	4.919	food	88
18.685	2.381	food	98
22.468	2.772	food	14
28.05	3.457	food	79
35.049	3.566	food	50
42.565	2.773	food	100
47.014	2.703	food	68
53.88	3.698	food	27
60.596	4.221	food	23
65.479	3.52	food	62
69.728	4.113	food	27
74.911	2.336	food	33
79.393	3.37	food	47
85.709	4.045	food	39
91.375	5.628	food	35
97.874	3.075	food	76
105.24	3.718	food	42
112.305	2.845	food	28
116.488	4.045	food	51
123.02	4.371	food	76
128.87	2.701	food	1
132.719	3.124	food	1
139.268	1.935	food	72
143.618	2.113	food	100
146.667	4.737	food	100
153.216	3.473	food	100
159.032	1.769	food	32
161.598	3.374	food	100
167.248	2.737	food	100
172.747	2.436	food	65
177.063	1.91	food	63
181.179	3.829	food	60
189.111	3.807	food	61
196.06	7.144	food	10
204.476	5.127	food	68
213.491	5.709	food	98
221.823	2.782	food	71
225.606	3.357	food	29
232.055	4.304	food	20
238.438	4.02	food	1
242.987	2.158	food	18
248.97	2.633	food	100
255.352	4.508	food	28
263.484	1.969	food	87
267.45	2.394	food	4
271.383	4.139	food	75
278.799	4.285	food	100
285.964	3.011	food	68
290.93	3.714	food	1
297.329	3.68	food	42
302.212	5.281	food	52
311.528	5.932	food	67
321.893	9.647	food	83
336.041	2.942	food	100
340.723	4.492	food	82
349.572	4.068	food	100
354.255	3.268	food	75
361.754	7.104	food	85
372.086	3.018	food	65
377.652	7.414	food	90
