onset	duration	trial_type	response
0.0229	5.0302	Bfix	other
5.0531	0.2226	characters	other
6.4483	0.2226	house	other
7.8101	0.2226	characters	other
9.1053	0.2226	animal	other
10.5006	0.2226	target_fruit	other
11.7624	0.2226	pseudoword	other
13.2243	0.2226	pseudoword	other
14.6862	0.2226	characters	other
16.148	0.2226	characters	other
17.5099	0.2226	characters	other
18.9051	0.2226	animal	other
20.3003	0.2226	house	other
21.5955	0.2226	animal	other
22.8907	0.2226	animal	other
24.3525	0.2226	characters	other
25.8477	0.2226	target_fruit	other
27.2096	0.2226	characters	other
28.7048	0.2226	house	other
30.1666	0.2226	characters	other
31.4618	0.2226	house	other
32.7237	0.2226	pseudoword	other
34.0188	0.2226	animal	other
35.2807	0.2226	pseudoword	other
36.676	0.2226	house	other
37.9712	0.2226	animal	other
39.4331	5.0264	Bfix	other
44.4594	0.2226	pseudoword	other
45.8213	0.2226	characters	other
47.3165	0.2226	animal	other
48.695	0.2226	house	other
49.9569	0.2226	pseudoword	other
51.4521	0.2226	house	other
52.814	0.2226	pseudoword	other
54.2092	0.2226	house	other
55.5043	0.2226	house	other
56.8829	0.2226	house	other
58.1447	0.2226	pseudoword	other
59.6399	0.2226	animal	other
61.0352	0.2226	target_fruit	other
62.4304	0.2226	house	other
63.8922	0.2226	characters	other
65.3874	0.2226	house	other
66.7826	0.2226	house	other
68.1778	0.2226	house	other
69.4397	0.2226	pseudoword	other
70.9016	0.2226	characters	other
72.2634	5.0537	Bfix	other
77.3172	0.2226	house	other
78.8124	0.2226	animal	other
80.2742	0.2226	pseudoword	other
81.6361	0.2226	pseudoword	other
83.098	0.222	characters	other
84.3593	0.2226	characters	other
85.6546	0.2226	animal	other
87.1331	0.2226	house	other
88.4283	0.2226	animal	other
89.9235	0.2226	animal	other
91.4187	0.2226	animal	other
92.914	0.2226	house	other
94.2092	0.2226	animal	other
95.5044	0.2226	house	other
96.8662	0.2226	pseudoword	other
98.3281	0.2226	pseudoword	other
99.8067	0.2226	animal	other
101.2018	0.2226	animal	other
102.6637	0.2226	pseudoword	other
103.9589	0.2226	animal	other
105.2208	0.2226	characters	other
106.5826	0.2226	pseudoword	other
108.0778	0.2226	target_fruit	other
109.4397	0.2226	pseudoword	other
110.8349	0.2226	house	other
112.1134	0.2226	animal	other
113.5753	0.2226	pseudoword	other
115.0372	0.2226	characters	other
116.5157	0.2226	animal	other
118.011	0.2226	house	other
119.2729	5.0539	Bfix	other
124.3268	0.2226	house	other
125.722	0.2226	animal	other
127.0838	0.2226	pseudoword	other
128.3457	0.2226	characters	other
129.8076	0.2226	characters	other
131.1028	0.2226	animal	other
132.5647	0.2226	characters	other
134.0599	0.2226	house	other
135.4218	0.2226	pseudoword	other
136.717	0.2226	animal	other
137.9789	0.2227	pseudoword	other
139.2408	0.2226	characters	other
140.5027	0.2226	pseudoword	other
141.9979	0.2226	animal	other
143.4597	0.2226	pseudoword	other
144.8216	0.2226	characters	other
146.0834	0.2226	pseudoword	other
147.5453	0.2226	characters	other
149.0072	0.2226	characters	other
150.4691	0.2226	pseudoword	other
151.731	5.026	Bfix	other
156.757	0.2226	pseudoword	other
158.2189	0.2226	characters	other
159.5807	0.2226	characters	other
160.9759	0.2226	house	other
162.3712	0.2226	target_fruit	other
163.6663	0.2226	house	other
165.1616	0.2226	house	other
166.4568	0.2226	animal	other
167.8519	0.2226	animal	other
169.2472	0.2226	animal	other
170.509	5.054	Bfix	other
175.563	0.2226	scene	other
177.0582	0.2226	visage	other
178.4534	0.2226	tool	other
179.932	0.2226	visage	other
181.2271	0.2226	scene	other
182.7057	0.2226	target_fruit	other
184.2009	0.2226	scrambled	other
185.6962	0.2226	scene	other
186.9913	0.2226	scrambled	other
188.2865	0.2226	scrambled	other
189.5817	0.2226	scrambled	other
191.0769	0.2226	scrambled	other
192.5722	0.2226	visage	other
193.8674	0.2226	tool	other
195.2625	0.2226	scene	other
196.5578	0.2226	scene	other
198.053	0.2226	scene	other
199.4315	0.2226	tool	other
200.7267	0.2226	scene	other
202.1219	0.2226	scrambled	other
203.4171	0.2226	scene	other
204.7123	0.2226	visage	other
206.0075	0.2226	visage	other
207.4028	0.2226	scrambled	other
208.8813	0.2226	tool	other
210.3431	5.0226	Bfix	other
215.4158	0.2226	scrambled	other
216.6943	0.2226	tool	other
218.1895	0.2226	visage	other
219.6847	0.2226	scrambled	other
221.1633	0.2226	scrambled	other
222.5585	0.2226	scrambled	other
223.9537	0.2226	tool	other
225.4489	0.2226	scene	other
226.844	0.2226	scrambled	other
228.3226	0.2226	scene	other
229.6011	0.2226	scene	other
230.8964	0.2226	scrambled	other
232.1916	0.2226	visage	other
233.4701	0.2226	target_fruit	other
234.8653	0.2226	tool	other
236.2439	0.2226	tool	other
237.6391	0.2226	visage	other
239.1176	0.2227	target_fruit	other
240.4129	0.2226	scrambled	other
241.6915	0.2226	target_fruit	other
243.0867	0.2226	scrambled	other
244.5819	0.2226	visage	other
245.9771	0.2226	scene	other
247.3723	0.2225	tool	other
248.7674	0.2226	scrambled	other
250.2292	5.0541	Bfix	other
255.2833	0.2226	scene	other
256.5785	0.2226	visage	other
257.9737	0.2226	scene	other
259.2689	0.2226	visage	other
260.6641	0.2226	visage	other
261.9592	0.2226	tool	other
263.4544	0.2226	visage	other
264.9496	0.2226	visage	other
266.4448	0.2226	scene	other
267.84	0.2226	scene	other
269.3352	0.2226	scrambled	other
270.6304	0.2226	tool	other
271.9256	0.2226	tool	other
273.4208	0.2226	scene	other
274.816	0.2227	scrambled	other
276.3113	0.2226	scene	other
277.8065	0.2226	scene	other
279.3017	0.2227	tool	other
280.597	0.2226	visage	other
281.9922	0.2226	scrambled	other
283.2874	0.2226	visage	other
284.6826	0.2226	visage	other
286.1611	0.2226	tool	other
287.4563	0.2226	tool	other
288.9515	0.2226	tool	other
290.3133	5.0538	Bfix	other
295.3672	0.2226	scene	other
296.8624	0.2226	tool	other
298.2409	0.2226	visage	other
299.6361	0.2226	scrambled	other
300.9313	0.2226	scene	other
302.2265	0.2226	visage	other
303.7217	0.2226	tool	other
305.0169	0.2226	scrambled	other
306.4121	0.2226	scrambled	other
307.7073	0.2226	tool	other
309.2024	0.2226	scrambled	other
310.4809	0.2226	visage	other
311.7762	0.2226	visage	other
313.0713	0.2226	tool	other
314.3665	0.2226	scrambled	other
315.7451	0.2226	tool	other
317.1236	0.2226	scene	other
318.6188	0.2226	scrambled	other
320.014	0.2226	tool	other
321.4093	0.2226	scene	other
322.8711	5.0545	Bfix	other
327.9256	0.2226	scrambled	other
329.2208	0.2226	scene	other
330.516	0.2226	visage	other
331.9945	0.2237	scrambled	other
333.3741	0.2226	visage	other
334.8693	0.2226	tool	other
336.3645	0.2226	scene	other
337.843	0.2226	target_fruit	other
339.3216	0.2226	tool	other
340.7168	0.2226	tool	other
341.9786	6.0226	Bfix	other
