onset	duration	trial_type	score
10.272	4.406	face	65
16.822	2.329	face	33
22.437	2.652	face	25
26.837	2.847	face	61
30.42	2.878	face	68
35.702	2.881	face	90
41.335	5.064	face	65
47.617	4.017	face	57
54.25	2.495	face	88
58.082	2.947	face	33
64.048	2.366	face	42
67.498	1.862	face	81
70.981	2.417	face	1
77.363	2.387	face	100
80.413	2.784	face	25
86.412	2.325	face	86
91.028	2.928	face	51
97.844	2.808	face	63
103.143	2.108	face	55
109.275	2.345	face	1
115.708	3.407	face	72
121.324	2.974	face	77
128.589	2.105	face	1
132.772	1.961	face	63
135.872	2.016	face	1
142.104	2.615	face	23
146.403	4.366	face	67
154.452	2.389	face	70
160.318	2.716	face	84
166.117	4.173	face	83
170.817	2.327	face	77
175.149	2.495	face	70
181.049	3.604	face	1
185.248	2.372	face	86
188.414	3.022	face	1
194.113	2.476	face	67
198.13	2.556	face	63
201.546	1.793	face	1
205.679	4.993	face	33
215.161	2.388	face	97
218.827	3.679	face	68
225.326	3.217	face	62
232.308	2.323	face	94
236.508	4.509	face	66
244.64	2.474	face	83
249.056	2.426	face	18
254.038	2.396	face	59
259.388	3.011	face	33
263.337	2.096	face	1
268.986	3.394	face	63
275.269	2.692	face	84
278.968	1.907	face	1
284.034	3.464	face	22
290.85	1.98	face	18
294.299	3.44	face	73
299.549	3.441	face	92
307.414	1.702	face	1
312.93	4.347	face	52
318.696	2.36	face	71
325.412	1.767	face	1
