onset	duration	trial_type	score
9.106	3.259	house	1
16.171	2.325	house	100
21.637	3.946	house	77
27.07	2.317	house	100
31.536	4.418	house	28
38.035	3.012	house	9
44.534	2.947	house	1
51.783	2.343	house	1
57.399	3.845	house	66
65.464	2.376	house	88
69.564	3.847	house	1
76.296	3.164	house	10
80.662	2.344	house	100
83.595	3.056	house	100
90.328	2.091	house	100
95.16	1.992	house	100
100.493	5.375	house	75
107.009	3.405	house	23
111.158	2.07	house	84
116.241	2.943	house	58
122.123	1.797	house	67
128.339	1.744	house	53
131.955	4.52	house	56
140.437	2.166	house	1
146.153	2.965	house	1
151.736	1.696	house	1
155.652	3.884	house	50
160.468	4.105	house	60
165.85	2.827	house	88
172.699	2.44	house	55
176.749	4.439	house	18
181.982	3.251	house	1
188.647	2.326	house	43
193.463	2.057	house	43
198.596	2.243	house	37
202.379	1.524	house	24
206.178	2.282	house	1
211.277	1.859	house	18
214.944	2.596	house	78
222.026	2.603	house	93
225.692	1.728	house	14
227.958	1.77	house	94
232.408	3.51	house	79
236.774	2.115	house	1
240.573	2.022	house	100
243.256	1.894	house	66
248.756	2.81	house	50
255.305	2.549	house	100
262.02	1.539	house	6
267.92	1.73	house	10
273.752	2.543	house	42
280.168	2.139	house	1
284.651	3.075	house	17
289.666	2.548	house	100
294.233	1.754	house	1
298.399	2.693	house	12
304.298	4.432	house	43
310.08	2.704	house	1
313.796	1.835	house	1
317.046	1.441	house	2
