onset	duration	trial_type	response
0.0228	10.0226	p_startup	other
10.0621	0.4226	cross	other
10.5847	1.5226	6_letters_same	other
12.1073	3.0227	cross	other
16.6299	1.5226	response	hit
18.1525	1.5226	blank2	other
19.6918	0.4226	cross	other
20.2144	1.5226	4_letters_different	other
21.737	3.0227	cross	other
26.2596	1.5226	response	hit
27.7822	2.5226	blank2	other
30.3215	0.4226	cross	other
30.8274	1.5226	6_letters_different	other
32.35	3.0227	cross	other
36.8727	1.5226	response	miss
38.3953	1.5226	blank2	other
39.9345	0.4226	cross	other
40.4571	1.5226	2_letters_different	other
41.9797	3.0227	cross	other
46.5023	1.5226	response	hit
48.0249	2.0226	blank2	other
50.0642	0.4143	cross	other
50.5785	1.5226	6_letters_different	other
52.1011	3.0227	cross	other
56.6237	1.5226	response	hit
58.1463	4.5226	blank2	other
62.6856	0.4226	cross	other
63.2083	1.5226	2_letters_different	other
64.7309	3.0227	cross	other
69.2535	1.5226	response	hit
70.7761	3.5226	blank2	other
74.3153	0.4226	cross	other
74.838	1.5226	6_letters_same	other
76.3606	3.0227	cross	other
80.8832	1.5226	response	hit
82.4058	4.5226	blank2	other
86.945	0.4227	cross	other
87.4677	1.5226	4_letters_same	other
88.9903	3.0227	cross	other
93.5129	1.5226	response	hit
95.0355	1.0226	blank2	other
96.0748	0.4226	cross	other
96.5974	1.5227	2_letters_different	other
98.1201	3.0227	cross	other
102.6427	1.5226	response	hit
104.1653	2.0226	blank2	other
106.2045	0.4227	cross	other
106.7272	1.5226	4_letters_same	other
108.2498	3.0227	cross	other
112.7725	1.5226	response	hit
114.2951	3.0226	blank2	other
117.3343	0.4226	cross	other
117.857	1.5226	4_letters_different	other
119.3796	3.0227	cross	other
123.9022	1.5226	response	hit
125.4248	4.0226	blank2	other
129.464	0.4226	cross	other
129.9867	1.5226	2_letters_same	other
131.5093	3.0227	cross	other
136.0319	1.5226	response	hit
137.5545	1.0227	blank2	other
138.5938	0.4226	cross	other
139.1165	1.5226	6_letters_different	other
140.6391	3.0227	cross	other
145.1617	1.5226	response	hit
146.6843	3.0226	blank2	other
149.7236	0.4226	cross	other
150.2462	1.5226	6_letters_same	other
151.7688	3.0227	cross	other
156.2915	1.5226	response	hit
157.8141	1.5226	blank2	other
159.3533	0.4226	cross	other
159.8759	1.5226	6_letters_same	other
161.3986	3.0227	cross	other
165.9212	1.5226	response	hit
167.4438	2.0226	blank2	other
169.483	0.4226	cross	other
170.0057	1.5226	2_letters_different	other
171.5283	3.0227	cross	other
176.0509	1.5226	response	hit
177.5735	4.0226	blank2	other
181.6127	0.4226	cross	other
182.1353	1.5226	2_letters_different	other
