onset	duration	trial_type	response
0.0229	10.0226	p_startup	other
10.0622	0.4226	cross	other
10.5848	1.5226	2_letters_different	other
12.1074	3.0227	cross	other
16.63	1.5226	response	miss
18.1526	2.0226	blank2	other
20.1918	0.4226	cross	other
20.7145	1.5226	4_letters_different	other
22.2371	3.0227	cross	other
26.7597	1.5226	response	miss
28.2823	1.5268	blank2	other
29.8257	0.4226	cross	other
30.3317	1.5226	2_letters_different	other
31.8543	3.0227	cross	other
36.3769	1.5226	response	miss
37.8995	2.0226	blank2	other
39.9388	0.4227	cross	other
40.4448	1.5226	4_letters_different	other
41.9674	3.0227	cross	other
46.4901	1.5226	response	miss
48.0126	3.0226	blank2	other
51.0519	0.4226	cross	other
51.5746	1.5226	6_letters_same	other
53.0972	3.0227	cross	other
57.6198	1.5226	response	miss
59.1424	4.0226	blank2	other
63.1816	0.4226	cross	other
63.7042	1.5226	4_letters_different	other
65.2268	3.0227	cross	other
69.7494	1.5226	response	miss
71.272	4.0226	blank2	other
75.3112	0.4226	cross	other
75.8339	1.5226	2_letters_different	other
77.3565	3.0227	cross	other
81.8791	1.5226	response	miss
83.4017	3.5226	blank2	other
86.9409	0.4226	cross	other
87.4636	1.5226	4_letters_same	other
88.9861	3.0227	cross	other
93.5087	1.5226	response	miss
95.0313	3.0226	blank2	other
98.0706	0.4226	cross	other
98.5932	1.5226	2_letters_different	other
100.1158	3.0227	cross	other
104.6384	1.5226	response	miss
106.161	1.0226	blank2	other
107.2003	0.4226	cross	other
107.7229	1.5226	2_letters_same	other
109.2455	3.0227	cross	other
113.7681	1.5226	response	miss
115.2907	2.0226	blank2	other
117.3299	0.4226	cross	other
117.8526	1.5226	4_letters_same	other
119.3752	3.0227	cross	other
123.8978	1.5226	response	miss
125.4203	2.0226	blank2	other
127.4596	0.4226	cross	other
127.9656	1.5226	2_letters_same	other
129.4881	3.0227	cross	other
134.0107	1.5182	response	miss
135.529	1.5226	blank2	other
137.0682	0.4227	cross	other
137.5742	1.5226	6_letters_same	other
139.0968	3.0227	cross	other
143.6194	1.5226	response	miss
145.142	5.0226	blank2	other
150.1813	0.4226	cross	other
150.7039	1.5226	2_letters_same	other
152.2265	3.0227	cross	other
156.7491	1.5226	response	miss
158.2717	3.0226	blank2	other
161.311	0.4226	cross	other
161.8336	1.5226	6_letters_different	other
163.3562	3.0227	cross	other
167.8788	1.5226	response	miss
169.4014	2.0227	blank2	other
171.4408	0.4226	cross	other
171.9634	1.5226	4_letters_same	other
173.486	3.0227	cross	other
178.0086	1.5226	response	miss
179.5312	3.0226	blank2	other
182.5704	0.4226	cross	other
183.0931	1.5227	6_letters_same	other
184.6158	3.0227	cross	other
189.1384	1.5226	response	miss
190.661	1.5226	blank2	other
192.2002	0.4226	cross	other
192.7228	1.5226	6_letters_different	other
194.2454	3.0227	cross	other
198.768	1.5226	response	miss
200.2907	1.5226	blank2	other
201.8299	0.4226	cross	other
202.3526	1.5226	2_letters_same	other
203.8752	3.0227	cross	other
208.3978	1.5226	response	miss
209.9204	2.0226	blank2	other
211.9596	0.4226	cross	other
212.4656	1.5226	6_letters_same	other
213.9882	3.0227	cross	other
218.5108	1.5226	response	miss
220.0334	1.5226	blank2	other
221.5726	0.4227	cross	other
222.0953	1.5226	4_letters_different	other
223.6179	3.0227	cross	other
228.1405	1.5226	response	miss
229.6631	1.5226	blank2	other
231.2024	0.4226	cross	other
231.725	1.5226	6_letters_different	other
233.2476	3.0227	cross	other
237.7703	1.5226	response	miss
239.2928	1.0226	blank2	other
240.3321	0.4226	cross	other
240.8547	1.5226	6_letters_same	other
242.3773	3.0227	cross	other
246.8999	1.5226	response	miss
248.4225	3.0226	blank2	other
251.4618	0.4226	cross	other
251.9844	1.5226	6_letters_different	other
253.507	3.0227	cross	other
258.0296	1.5226	response	miss
259.5522	2.0226	blank2	other
261.5914	0.4226	cross	other
262.1141	1.5226	4_letters_different	other
263.6367	3.0227	cross	other
268.1593	1.5226	response	miss
269.6819	2.0226	blank2	other
271.7211	0.4226	cross	other
272.2438	1.5226	2_letters_same	other
273.7664	3.0227	cross	other
