onset	duration	trial_type	score
8.784	3.918	food	22
15.45	2.448	food	5
20.716	4.227	food	20
26.498	2.196	food	89
29.964	3.965	food	47
37.147	3.492	food	15
41.979	2.828	food	4
48.295	2.974	food	67
51.928	3.814	food	32
57.344	2.478	food	49
61.576	5.486	food	55
67.659	3.334	food	24
75.358	4.062	food	68
83.923	4.642	food	22
92.639	3.084	food	82
99.155	2.333	food	69
103.904	2.657	food	80
110.103	3.012	food	8
113.853	3.383	food	94
119.252	5.132	food	51
128.334	2.731	food	92
134.216	3.453	food	47
140.016	2.301	food	3
144.865	3.798	food	50
149.464	3.669	food	36
156.213	3.083	food	19
162.912	2.849	food	73
168.445	2.677	food	5
173.994	2.605	food	1
178.477	4.155	food	62
183.843	3.898	food	1
189.425	4.263	food	56
195.841	3.236	food	100
201.007	2.914	food	74
207.939	3.763	food	88
214.322	3.157	food	23
218.488	2.386	food	75
224.22	4.594	food	68
229.353	3.169	food	68
235.802	3.505	food	62
243.468	3.229	food	42
250.45	3.309	food	64
254.816	4.331	food	36
262.098	3.072	food	95
267.448	3.078	food	69
273.547	5.103	food	46
282.329	4.301	food	1
290.511	3.977	food	51
298.293	2.428	food	64
301.86	2.698	food	77
308.792	2.302	food	57
312.491	3.135	food	40
318.107	2.959	food	89
325.356	3.041	food	35
329.272	2.18	food	1
333.539	5.058	food	26
340.071	3.699	food	64
348.186	3.054	food	64
352.169	3.056	food	35
357.035	2.349	food	20
