onset	duration	trial_type	score
8.119	3.799	house	1
13.602	3.493	house	100
21.384	4.043	house	99
26.1	3.203	house	1
31.716	3.917	house	100
39.248	5.881	house	100
46.614	5.219	house	1
52.363	3.385	house	100
58.495	3.09	house	1
65.811	3.269	house	2
72.893	3.035	house	100
77.526	2.22	house	1
82.692	4.342	house	1
88.024	1.915	house	1
93.69	3.284	house	1
98.04	1.904	house	97
103.089	2.514	house	1
109.288	2.318	house	100
114.221	3.309	house	1
120.953	2.815	house	1
127.935	2.018	house	1
131.768	2.997	house	100
139.134	2.634	house	100
143.183	2.706	house	1
148.966	2.475	house	1
152.165	2.55	house	1
156.598	2.5	house	1
163.114	1.968	house	1
165.947	2.035	house	1
170.329	2.749	house	1
177.178	2.645	house	1
183.177	4.687	house	1
190.893	2.469	house	1
196.576	2.818	house	100
202.875	3.07	house	100
210.357	3.326	house	1
215.423	2.342	house	98
219.856	2.066	house	100
222.722	2.724	house	1
226.388	3.321	house	1
232.987	2.481	house	100
237.953	3.219	house	100
243.852	2.131	house	100
247.135	1.792	house	99
253.434	2.198	house	100
258.183	2.535	house	1
262.65	2.269	house	1
267.199	1.934	house	1
271.132	2.119	house	1
274.448	2.443	house	9
278.231	2.837	house	100
283.213	2.277	house	100
289.362	3.298	house	1
295.478	3.859	house	100
303.277	2.683	house	1
309.51	3.225	house	100
313.326	3.598	house	1
319.141	2.038	house	1
322.441	2.638	house	100
327.957	1.989	house	1
