onset	duration	trial_type	score
8.318	3.488	painting	100
14.418	5.104	painting	1
20.45	3.113	painting	1
25.249	4.434	painting	1
34.048	3.158	painting	1
38.414	2.413	painting	7
42.164	3.567	painting	100
46.48	5.102	painting	1
56.012	6.735	painting	95
64.277	3.045	painting	1
68.127	3.304	painting	1
72.026	3.615	painting	7
77.775	3.601	painting	100
84.724	2.769	painting	1
91.707	5.157	painting	1
100.289	5.585	painting	1
107.621	3.683	painting	100
113.387	3.543	painting	1
120.819	3.096	painting	1
124.452	3.03	painting	93
129.085	2.387	painting	9
132.551	2.976	painting	100
137.733	3.35	painting	96
142.566	3.178	painting	1
148.165	3.327	painting	1
154.448	3.041	painting	1
161.98	3.295	painting	1
168.762	2.018	painting	21
171.779	3.243	painting	1
177.911	3.046	painting	1
184.71	2.915	painting	100
189.443	3.761	painting	1
196.892	8.161	painting	100
207.873	3.759	painting	1
214.122	3.453	painting	1
220.655	3.116	painting	1
225.787	3.636	painting	1
233.586	5.346	painting	1
243.235	2.623	painting	100
249.817	3.929	painting	1
256.5	3.138	painting	1
263.249	4.628	painting	91
269.298	5.633	painting	1
276.064	5.166	painting	1
281.896	3.567	painting	1
288.479	3.412	painting	1
295.911	3.206	painting	1
302.927	4.303	painting	100
310.775	2.666	painting	100
315.991	3.787	painting	96
320.657	2.635	painting	100
326.59	4.895	painting	1
333.772	3.773	painting	1
339.421	4.176	painting	100
345.954	3.72	painting	1
352.369	6.877	painting	1
362.468	4.776	painting	1
368.517	8.408	painting	1
380.082	1.187	painting	46
385.348	2.314	painting	100
