onset	duration	trial_type	score
9.976	3.301	face	99
17.625	2.118	face	100
22.291	3.609	face	1
30.307	3.248	face	1
36.506	3.266	face	1
42.188	3.287	face	100
49.771	2.214	face	100
52.72	3.777	face	100
58.036	3.178	face	100
64.102	1.742	face	98
67.035	2.876	face	100
71.384	3.566	face	1
78.3	2.679	face	100
84.999	6.454	face	1
95.214	3.384	face	100
102.83	2.657	face	1
107.429	3.613	face	1
114.128	3.74	face	100
119.211	2.541	face	1
125.377	2.346	face	1
131.409	2.434	face	100
134.642	2.542	face	1
138.325	3.066	face	100
145.274	2.587	face	100
149.873	4.081	face	1
156.239	2.852	face	1
163.588	2.353	face	1
168.687	3.127	face	100
172.42	3.011	face	100
178.719	3.211	face	1
186.085	2.954	face	1
193.117	2.23	face	100
195.883	2.055	face	100
200.416	2.816	face	100
204.849	2.587	face	100
210.048	2.966	face	1
214.031	2.828	face	100
220.013	5.308	face	1
226.246	1.716	face	4
230.778	3.187	face	100
235.244	1.921	face	100
238.894	2.67	face	100
243.377	3.56	face	1
249.092	4.325	face	1
256.425	3.441	face	1
260.924	2.262	face	1
265.39	2.521	face	100
269.323	2.149	face	1
274.905	2.772	face	1
278.338	2.72	face	1
283.737	3.001	face	1
288.42	2.841	face	100
294.753	3.838	face	100
302.135	2.439	face	2
306.917	4.865	face	100
313.866	3.296	face	100
319.032	2.135	face	1
325.132	2.419	face	1
328.431	2.434	face	1
334.08	2.748	face	100
