onset	duration	trial_type	score
9.2	3.74	house	1
16.699	2.398	house	6
21.515	3.419	house	100
27.881	2.052	house	1
32.814	2.678	house	100
38.913	4.62	house	1
47.695	3.81	house	100
52.594	2.865	house	1
57.01	4.358	house	1
65.376	2.284	house	1
72.075	2.763	house	94
77.991	3.394	house	100
83.407	3.645	house	1
88.872	2.865	house	1
92.955	3.085	house	1
97.321	2.118	house	100
103.537	2.344	house	1
108.353	2.414	house	1
113.985	3.061	house	1
119.735	2.988	house	1
126.617	3.247	house	100
131.333	2.324	house	97
135.532	4.092	house	100
143.981	3.789	house	1
151.064	5.473	house	1
160.162	3.508	house	1
165.945	3.478	house	100
172.977	2.747	house	1
177.143	2.404	house	1
182.309	3.42	house	1
190.025	2.937	house	1
194.307	3.051	house	1
201.59	3.938	house	100
209.489	2.376	house	1
212.388	2.914	house	7
217.454	2.331	house	100
223.137	2.746	house	100
228.969	2.812	house	1
233.402	2.573	house	1
236.985	4.312	house	100
245.8	2.037	house	1
248.433	2.996	house	100
253.166	2.747	house	100
259.731	3.184	house	100
263.781	3.505	house	100
268.214	3.662	house	1
275.363	2.063	house	1
279.645	4.009	house	100
284.395	3.122	house	100
290.06	2.802	house	100
295.676	3.305	house	100
302.659	3.274	house	100
308.941	2.786	house	100
313.807	2.157	house	100
316.623	3.352	house	4
321.923	1.626	house	3
325.889	1.987	house	1
329.538	3.1	house	1
333.454	2.163	house	93
336.77	3.053	house	1
