onset	duration	trial_type	score
10.816	4.06	food	100
17.415	3.593	food	100
22.681	2.798	food	1
26.88	3.08	food	100
32.313	5.274	food	1
38.662	5.147	food	1
45.561	8.29	food	100
56.659	4.86	food	100
62.258	3.695	food	100
69.924	5.929	food	100
77.473	2.253	food	99
80.589	2.798	food	100
84.872	2.826	food	100
91.588	2.338	food	100
98.353	6.529	food	1
107.902	5.236	food	100
116.817	3.041	food	100
124.35	3.215	food	100
130.915	2.498	food	100
135.898	3.408	food	100
141.381	3.689	food	100
146.946	4.095	food	100
151.646	4.107	food	100
156.278	3.386	food	100
162.877	3.964	food	100
167.977	3.381	food	1
173.626	4.15	food	1
181.058	7.846	food	100
191.857	3.405	food	100
195.923	3.166	food	100
200.039	3.441	food	100
207.838	3.597	food	100
213.454	3.686	food	100
217.953	5.167	food	98
225.269	2.635	food	1
230.784	2.92	food	100
236.45	3.505	food	1
241.483	4.426	food	100
249.998	7.059	food	100
261.213	2.351	food	100
267.063	2.36	food	100
272.095	5.468	food	100
281.311	6.685	food	97
289.343	3.06	food	100
294.342	3.363	food	98
302.008	3.708	food	100
309.14	4.499	food	100
316.056	3.385	food	100
322.055	5.405	food	100
328.654	9.068	food	100
340.802	3.121	food	100
345.718	6.064	food	1
355.8	3.047	food	95
359.849	3.438	food	100
367.098	2.504	food	100
373.148	4.243	food	100
378.647	2.527	food	100
384.796	2.958	food	100
390.895	4.351	food	1
397.461	3.734	food	100
