onset	duration	trial_type	large_amount	later_delay
0.0	1.019	fmri_buffer	stim	stim
1.019	1.52	test_start_block	stim	stim
2.539	5.849	stim	31.0	76.0
8.388	4.59	stim	43.0	19.0
12.978	4.639	stim	60.0	124.0
17.617	4.919	stim	27.0	142.0
22.536	4.511	stim	25.0	70.0
27.047	4.989	stim	44.0	92.0
32.036	4.921	stim	41.0	27.0
36.957	4.589	stim	64.0	89.0
41.546	4.521	stim	78.0	108.0
46.067	6.21	stim	80.0	145.0
52.277	4.72	stim	41.0	174.0
56.997	5.049	stim	42.0	145.0
62.046	5.061	stim	36.0	114.0
67.107	5.19	stim	58.0	55.0
72.297	4.98	stim	81.0	58.0
77.277	4.789	stim	32.0	111.0
82.066	4.791	stim	25.0	141.0
86.857	5.2	stim	67.0	23.0
92.057	5.19	stim	77.0	161.0
97.247	5.26	stim	55.0	163.0
102.507	4.581	stim	40.0	159.0
107.088	4.519	stim	76.0	161.0
111.607	4.92	stim	48.0	128.0
116.527	4.57	stim	39.0	95.0
121.097	6.219	stim	83.0	105.0
127.316	4.911	stim	67.0	41.0
132.227	5.259	stim	56.0	172.0
137.486	5.051	stim	28.0	123.0
142.537	4.64	stim	50.0	129.0
147.177	4.72	stim	23.0	61.0
151.897	4.64	stim	79.0	92.0
156.537	4.579	stim	61.0	141.0
161.116	4.59	stim	43.0	38.0
165.706	4.93	stim	66.0	145.0
170.636	4.861	stim	30.0	23.0
175.497	5.26	stim	32.0	57.0
180.757	4.779	stim	27.0	91.0
185.536	6.0	stim	43.0	120.0
191.536	5.601	stim	75.0	60.0
197.137	4.579	stim	34.0	176.0
201.716	5.121	stim	24.0	38.0
206.837	5.67	stim	82.0	74.0
212.507	4.59	stim	58.0	53.0
217.097	4.79	stim	54.0	23.0
221.887	5.06	stim	41.0	55.0
226.947	4.859	stim	77.0	142.0
231.806	5.2	stim	25.0	108.0
237.006	5.061	stim	33.0	163.0
242.067	4.99	stim	29.0	75.0
247.057	4.988	stim	45.0	157.0
252.045	5.322	stim	31.0	74.0
257.367	4.521	stim	80.0	39.0
261.888	5.058	stim	22.0	21.0
266.946	4.711	stim	52.0	139.0
271.657	4.849	stim	54.0	126.0
276.506	6.81	stim	23.0	176.0
283.316	4.521	stim	24.0	87.0
287.837	4.581	stim	36.0	140.0
292.418	4.719	stim	35.0	171.0
297.137	4.92	stim	34.0	43.0
302.057	4.59	stim	74.0	121.0
306.647	7.511	rest_block	stim	stim
314.158	5.798	stim	45.0	107.0
319.956	4.65	stim	77.0	24.0
324.606	4.571	stim	39.0	161.0
329.177	5.459	stim	62.0	180.0
334.636	5.39	stim	24.0	139.0
340.026	4.571	stim	58.0	72.0
344.597	6.289	stim	56.0	93.0
350.886	5.531	stim	45.0	26.0
356.417	4.581	stim	23.0	42.0
360.998	4.639	stim	50.0	41.0
365.637	4.65	stim	25.0	176.0
370.287	5.119	stim	54.0	22.0
375.406	5.331	stim	29.0	44.0
380.737	4.591	stim	24.0	89.0
385.328	4.579	stim	23.0	77.0
389.907	4.579	stim	27.0	130.0
394.486	4.85	stim	23.0	134.0
399.336	4.521	stim	55.0	107.0
403.857	5.667	stim	44.0	143.0
409.524	4.923	stim	23.0	110.0
414.447	4.64	stim	65.0	156.0
419.087	4.52	stim	22.0	27.0
423.607	4.522	stim	50.0	59.0
428.129	5.118	stim	85.0	129.0
433.247	6.14	stim	66.0	58.0
439.387	4.85	stim	49.0	172.0
444.237	4.59	stim	73.0	44.0
448.827	4.72	stim	58.0	73.0
453.547	5.87	stim	71.0	76.0
459.417	4.64	stim	67.0	74.0
464.057	5.32	stim	29.0	58.0
469.377	4.979	stim	39.0	104.0
474.356	4.57	stim	33.0	103.0
478.926	5.541	stim	33.0	78.0
484.467	5.611	stim	74.0	52.0
490.078	5.799	stim	28.0	132.0
495.877	4.58	stim	28.0	59.0
500.457	5.129	stim	28.0	163.0
505.586	4.521	stim	32.0	74.0
510.107	4.86	stim	57.0	89.0
514.967	4.58	stim	70.0	108.0
519.547	5.4	stim	72.0	95.0
524.947	5.053	stim	30.0	36.0
530.0	4.717	stim	41.0	129.0
534.717	4.91	stim	78.0	129.0
539.627	4.931	stim	71.0	88.0
544.558	4.859	stim	65.0	159.0
549.417	5.13	stim	24.0	125.0
554.547	5.12	stim	58.0	36.0
559.667	4.72	stim	63.0	37.0
564.387	4.86	stim	75.0	41.0
569.247	4.861	stim	45.0	72.0
574.108	6.899	stim	25.0	74.0
581.007	4.58	stim	65.0	137.0
585.587	4.779	stim	49.0	140.0
590.366	7.022	stim	67.0	103.0
597.388	4.721	stim	69.0	172.0
602.109	5.188	stim	66.0	71.0
607.297	5.06	stim	71.0	176.0
612.357	10.912	end	stim	stim
