onset	duration	trial_type	large_amount	later_delay
0.0	1.012	fmri_buffer	stim	stim
1.012	1.513	test_start_block	stim	stim
2.525	5.848	stim	31.0	76.0
8.373	4.58	stim	43.0	19.0
12.953	4.639	stim	60.0	124.0
17.592	4.921	stim	27.0	142.0
22.513	4.519	stim	25.0	70.0
27.032	4.98	stim	44.0	92.0
32.012	4.92	stim	41.0	27.0
36.932	4.59	stim	64.0	89.0
41.522	4.51	stim	78.0	108.0
46.032	6.21	stim	80.0	145.0
52.242	4.71	stim	41.0	174.0
56.952	5.061	stim	42.0	145.0
62.013	5.049	stim	36.0	114.0
67.062	5.2	stim	58.0	55.0
72.262	4.98	stim	81.0	58.0
77.242	4.79	stim	32.0	111.0
82.032	4.789	stim	25.0	141.0
86.821	5.201	stim	67.0	23.0
92.022	5.2	stim	77.0	161.0
97.222	5.26	stim	55.0	163.0
102.482	4.581	stim	40.0	159.0
107.063	4.51	stim	76.0	161.0
111.573	4.919	stim	48.0	128.0
116.492	4.591	stim	39.0	95.0
121.083	6.219	stim	83.0	105.0
127.302	4.91	stim	67.0	41.0
132.212	5.27	stim	56.0	172.0
137.482	5.06	stim	28.0	123.0
142.542	4.65	stim	50.0	129.0
147.192	4.72	stim	23.0	61.0
151.912	4.638	stim	79.0	92.0
156.55	4.582	stim	61.0	141.0
161.132	4.58	stim	43.0	38.0
165.712	4.931	stim	66.0	145.0
170.643	4.849	stim	30.0	23.0
175.492	5.27	stim	32.0	57.0
180.762	4.789	stim	27.0	91.0
185.551	6.011	stim	43.0	120.0
191.562	5.609	stim	75.0	60.0
197.171	4.59	stim	34.0	176.0
201.761	5.12	stim	24.0	38.0
206.881	5.671	stim	82.0	74.0
212.552	4.59	stim	58.0	53.0
217.142	4.779	stim	54.0	23.0
221.921	5.061	stim	41.0	55.0
226.982	4.86	stim	77.0	142.0
231.842	5.2	stim	25.0	108.0
237.042	5.06	stim	33.0	163.0
242.102	4.99	stim	29.0	75.0
247.092	4.981	stim	45.0	157.0
252.073	5.329	stim	31.0	74.0
257.402	4.51	stim	80.0	39.0
261.912	5.06	stim	22.0	21.0
266.972	4.71	stim	52.0	139.0
271.682	4.849	stim	54.0	126.0
276.531	6.801	stim	23.0	176.0
283.332	4.509	stim	24.0	87.0
287.841	4.581	stim	36.0	140.0
292.422	4.719	stim	35.0	171.0
297.141	4.932	stim	34.0	43.0
302.073	4.589	stim	74.0	121.0
306.662	7.511	rest_block	stim	stim
314.173	5.799	stim	45.0	107.0
319.972	4.65	stim	77.0	24.0
324.622	4.58	stim	39.0	161.0
329.202	5.46	stim	62.0	180.0
334.662	5.4	stim	24.0	139.0
340.062	4.59	stim	58.0	72.0
344.652	6.28	stim	56.0	93.0
350.932	5.539	stim	45.0	26.0
356.471	4.58	stim	23.0	42.0
361.051	4.65	stim	50.0	41.0
365.701	4.65	stim	25.0	176.0
370.351	5.132	stim	54.0	22.0
375.483	5.329	stim	29.0	44.0
380.812	4.59	stim	24.0	89.0
385.402	4.59	stim	23.0	77.0
389.992	4.58	stim	27.0	130.0
394.572	4.86	stim	23.0	134.0
399.432	4.519	stim	55.0	107.0
403.951	5.671	stim	44.0	143.0
409.622	4.91	stim	23.0	110.0
414.532	4.64	stim	65.0	156.0
419.172	4.519	stim	22.0	27.0
423.691	4.511	stim	50.0	59.0
428.202	5.13	stim	85.0	129.0
433.332	6.152	stim	66.0	58.0
439.484	4.858	stim	49.0	172.0
444.342	4.591	stim	73.0	44.0
448.933	4.709	stim	58.0	73.0
453.642	5.87	stim	71.0	76.0
459.512	4.648	stim	67.0	74.0
464.16	5.331	stim	29.0	58.0
469.491	4.98	stim	39.0	104.0
474.471	4.581	stim	33.0	103.0
479.052	5.529	stim	33.0	78.0
484.581	5.59	stim	74.0	52.0
490.171	5.801	stim	28.0	132.0
495.972	4.59	stim	28.0	59.0
500.562	5.13	stim	28.0	163.0
505.692	4.521	stim	32.0	74.0
510.213	4.849	stim	57.0	89.0
515.062	4.59	stim	70.0	108.0
519.652	5.398	stim	72.0	95.0
525.05	5.062	stim	30.0	36.0
530.112	4.72	stim	41.0	129.0
534.832	4.919	stim	78.0	129.0
539.751	4.921	stim	71.0	88.0
544.672	4.859	stim	65.0	159.0
549.531	5.121	stim	24.0	125.0
554.652	5.119	stim	58.0	36.0
559.771	4.719	stim	63.0	37.0
564.49	4.851	stim	75.0	41.0
569.341	4.86	stim	45.0	72.0
574.201	6.901	stim	25.0	74.0
581.102	4.58	stim	65.0	137.0
585.682	4.79	stim	49.0	140.0
590.472	7.029	stim	67.0	103.0
597.501	4.71	stim	69.0	172.0
602.211	5.191	stim	66.0	71.0
607.402	5.06	stim	71.0	176.0
612.462	9.566	end	stim	stim
