onset	duration	trial_type	score
11.703	2.574	painting	24
16.146	1.296	painting	65
21.594	2.51	painting	94
25.776	1.468	painting	83
31.266	1.317	painting	71
34.923	1.817	painting	39
38.545	1.712	painting	20
41.313	2.724	painting	1
47.647	1.964	painting	7
53.836	2.266	painting	1
59.848	2.379	painting	1
63.357	2.441	painting	77
69.887	2.669	painting	92
73.284	2.238	painting	89
78.519	2.488	painting	73
81.675	1.772	painting	87
86.393	2.679	painting	1
89.665	1.879	painting	1
95.5	2.544	painting	1
101.33	2.031	painting	1
106.177	2.101	painting	81
109.214	2.007	painting	76
114.573	1.96	painting	12
119.277	2.448	painting	1
125.404	3.101	painting	1
131.118	2.267	painting	1
137.805	1.964	painting	1
142.045	2.351	painting	82
147.802	3.332	painting	19
152.002	1.756	painting	82
155.694	2.708	painting	100
159.74	1.665	painting	40
163.613	2.5	painting	13
167.515	2.673	painting	62
170.988	2.438	painting	89
176.509	1.676	painting	73
182.004	2.452	painting	8
188.345	1.999	painting	84
192.824	2.313	painting	66
198.352	3.009	painting	20
202.566	1.733	painting	83
205.84	2.099	painting	1
211.425	2.321	painting	87
214.28	3.823	painting	81
220.181	2.618	painting	20
224.4	1.76	painting	89
229.715	1.863	painting	87
236.065	2.244	painting	1
241.46	2.305	painting	1
245.035	3.572	painting	1
251.151	2.447	painting	1
255.073	1.809	painting	1
259.288	2.027	painting	83
262.316	2.172	painting	84
268.77	2.268	painting	84
272.779	2.223	painting	25
277.681	3.428	painting	78
285.468	2.867	painting	1
290.348	2.759	painting	75
295.988	2.112	painting	1
