onset	duration	trial_type	score
13.53	2.265	face	79
16.395	2.682	face	83
21.622	1.659	face	100
24.009	3.058	face	15
29.405	1.691	face	1
32.496	1.563	face	1
35.731	1.364	face	82
41.379	2.067	face	5
45.582	1.202	face	46
49.723	2.101	face	1
55.237	2.337	face	14
59.044	1.965	face	4
65.366	2.341	face	70
69.307	2.453	face	91
74.169	2.319	face	1
79.168	2.892	face	1
86.078	3.152	face	99
93.646	2.055	face	1
96.227	1.454	face	80
98.678	1.883	face	100
103.042	1.767	face	82
105.674	2.486	face	94
112.051	2.099	face	75
118.377	1.484	face	82
121.734	2.037	face	83
127.861	2.557	face	76
133.703	2.575	face	1
139.894	1.694	face	78
146.073	2.348	face	1
149.618	2.234	face	1
155.34	1.699	face	100
159.042	1.688	face	100
162.667	2.556	face	1
166.763	1.992	face	1
171.902	1.991	face	87
174.693	1.639	face	85
179.549	3.648	face	81
186.21	1.648	face	76
188.792	2.941	face	81
193.944	2.724	face	1
199.552	2.758	face	19
205.388	1.846	face	1
209.31	2.635	face	69
215.494	1.939	face	69
219.711	1.206	face	80
222.186	2.364	face	100
225.688	1.741	face	73
231.388	1.915	face	72
236.657	2.114	face	1
240.513	2.189	face	83
243.367	2.783	face	89
249.837	1.914	face	96
255.572	1.821	face	1
258.457	1.61	face	72
263.82	2.695	face	95
268.322	2.715	face	1
273.849	1.533	face	66
276.72	2.474	face	1
281.94	1.771	face	95
286.33	1.3	face	75
