onset	duration	trial_type	score
8.352	3.097	face	12
15.618	3.637	face	58
22.134	3.461	face	23
29.416	3.426	face	11
34.982	3.443	face	61
39.231	3.765	face	51
46.964	2.453	face	22
51.963	3.656	face	63
59.845	4.148	face	89
65.678	3.669	face	61
71.227	2.492	face	51
75.66	3.607	face	76
81.759	3.121	face	65
86.275	3.789	face	50
90.658	1.75	face	66
94.69	4.435	face	26
100.34	4.311	face	60
108.005	3.234	face	54
111.971	4.11	face	36
118.104	2.93	face	65
122.653	4.809	face	60
128.586	2.902	face	15
132.768	4.263	face	23
140.251	4.961	face	32
146.55	4.369	face	64
153.532	4.002	face	38
161.631	4.468	face	58
168.913	4.18	face	62
174.562	3.618	face	37
179.062	4.514	face	52
186.327	3.659	face	58
192.393	2.674	face	49
198.626	2.957	face	50
205.075	5.015	face	56
211.091	3.972	face	65
215.74	3.273	face	16
222.906	3.09	face	49
226.938	3.761	face	24
234.987	4.61	face	35
244.019	3.128	face	14
249.835	3.498	face	61
256.418	4.652	face	75
261.6	3.698	face	49
268.316	5.231	face	57
276.498	3.097	face	11
283.281	2.679	face	1
287.513	3.86	face	94
295.729	3.685	face	46
301.761	3.421	face	35
308.327	3.592	face	68
316.409	3.262	face	64
323.425	3.679	face	38
328.191	3.342	face	21
334.94	2.386	face	12
340.606	2.553	face	22
344.905	4.54	face	26
353.471	4.693	face	32
359.97	3.772	face	1
365.819	2.949	face	7
372.385	3.17	face	15
