onset	duration	trial_type	score
7.432	3.905	house	1
12.682	3.677	house	35
18.631	4.195	house	30
27.13	3.39	house	23
34.195	4.099	house	74
39.245	6.073	house	28
47.527	3.673	house	19
52.943	3.996	house	83
61.175	3.991	house	9
68.924	3.037	house	43
75.24	5.716	house	23
82.439	6.047	house	76
91.571	4.085	house	19
96.253	2.696	house	14
102.303	3.329	house	1
106.852	3.796	house	100
111.785	5.307	house	63
118.5	4.828	house	66
124.883	4.441	house	10
132.348	2.684	house	1
136.648	2.802	house	92
142.33	4.658	house	1
147.663	3.6	house	1
155.228	3.273	house	10
160.644	3.653	house	1
167.243	4.74	house	48
173.926	3.382	house	16
179.658	3.482	house	61
187.507	3.978	house	52
193.573	5.537	house	51
201.122	4.139	house	18
209.071	3.331	house	1
216.42	5.223	house	49
222.369	4.814	house	51
230.335	6.353	house	50
241.116	2.138	house	25
247.416	3.186	house	64
254.681	2.896	house	14
259.997	5.028	house	69
266.913	3.064	house	24
272.729	2.662	house	1
278.878	3.277	house	58
285.377	3.838	house	17
291.759	4.547	house	42
299.858	3.789	house	40
306.257	3.202	house	1
310.74	2.912	house	8
317.273	2.639	house	14
323.805	3.892	house	62
329.371	3.683	house	22
334.054	3.483	house	28
340.019	2.974	house	1
345.819	3.496	house	39
351.134	3.541	house	74
358.1	3.53	house	49
366.116	5.234	house	75
371.882	5.133	house	60
378.081	5.558	house	58
384.446	4.885	house	15
392.012	5.012	house	45
