onset	duration	trial_type	large_amount	later_delay
0.0	1.024	fmri_buffer	stim	stim
1.024	1.509	test_start_block	stim	stim
2.533	5.84	stim	31.0	76.0
8.373	4.579	stim	43.0	19.0
12.952	4.639	stim	60.0	124.0
17.591	4.93	stim	27.0	142.0
22.521	4.521	stim	25.0	70.0
27.042	4.98	stim	44.0	92.0
32.022	4.93	stim	41.0	27.0
36.952	4.57	stim	64.0	89.0
41.522	4.509	stim	78.0	108.0
46.031	6.222	stim	80.0	145.0
52.253	4.709	stim	41.0	174.0
56.962	5.061	stim	42.0	145.0
62.023	5.049	stim	36.0	114.0
67.072	5.19	stim	58.0	55.0
72.262	4.99	stim	81.0	58.0
77.252	4.781	stim	32.0	111.0
82.033	4.779	stim	25.0	141.0
86.812	5.19	stim	67.0	23.0
92.002	5.2	stim	77.0	161.0
97.202	5.271	stim	55.0	163.0
102.473	4.58	stim	40.0	159.0
107.053	4.519	stim	76.0	161.0
111.572	4.92	stim	48.0	128.0
116.492	4.57	stim	39.0	95.0
121.062	6.21	stim	83.0	105.0
127.272	4.92	stim	67.0	41.0
132.192	5.26	stim	56.0	172.0
137.452	5.051	stim	28.0	123.0
142.503	4.639	stim	50.0	129.0
147.142	4.72	stim	23.0	61.0
151.862	4.64	stim	79.0	92.0
156.502	4.581	stim	61.0	141.0
161.083	4.588	stim	43.0	38.0
165.671	4.922	stim	66.0	145.0
170.593	4.859	stim	30.0	23.0
175.452	5.271	stim	32.0	57.0
180.723	4.79	stim	27.0	91.0
185.513	6.008	stim	43.0	120.0
191.521	5.601	stim	75.0	60.0
197.122	4.59	stim	34.0	176.0
201.712	5.129	stim	24.0	38.0
206.841	5.661	stim	82.0	74.0
212.502	4.58	stim	58.0	53.0
217.082	4.791	stim	54.0	23.0
221.873	5.059	stim	41.0	55.0
226.932	4.86	stim	77.0	142.0
231.792	5.19	stim	25.0	108.0
236.982	5.051	stim	33.0	163.0
242.033	4.989	stim	29.0	75.0
247.022	4.989	stim	45.0	157.0
252.011	5.321	stim	31.0	74.0
257.332	4.51	stim	80.0	39.0
261.842	5.05	stim	22.0	21.0
266.892	4.71	stim	52.0	139.0
271.602	4.85	stim	54.0	126.0
276.452	6.801	stim	23.0	176.0
283.253	4.518	stim	24.0	87.0
287.771	4.571	stim	36.0	140.0
292.342	4.711	stim	35.0	171.0
297.053	4.92	stim	34.0	43.0
301.973	4.579	stim	74.0	121.0
306.552	7.511	rest_block	stim	stim
314.063	5.799	stim	45.0	107.0
319.862	4.64	stim	77.0	24.0
324.502	4.591	stim	39.0	161.0
329.093	5.46	stim	62.0	180.0
334.553	5.389	stim	24.0	139.0
339.942	4.588	stim	58.0	72.0
344.53	6.272	stim	56.0	93.0
350.802	5.531	stim	45.0	26.0
356.333	4.578	stim	23.0	42.0
360.911	4.641	stim	50.0	41.0
365.552	4.639	stim	25.0	176.0
370.191	5.12	stim	54.0	22.0
375.311	5.321	stim	29.0	44.0
380.632	4.58	stim	24.0	89.0
385.212	4.591	stim	23.0	77.0
389.803	4.579	stim	27.0	130.0
394.382	4.85	stim	23.0	134.0
399.232	4.521	stim	55.0	107.0
403.753	5.659	stim	44.0	143.0
409.412	4.92	stim	23.0	110.0
414.332	4.649	stim	65.0	156.0
418.981	4.519	stim	22.0	27.0
423.5	4.512	stim	50.0	59.0
428.012	5.12	stim	85.0	129.0
433.132	6.14	stim	66.0	58.0
439.272	4.86	stim	49.0	172.0
444.132	4.581	stim	73.0	44.0
448.713	4.718	stim	58.0	73.0
453.431	5.872	stim	71.0	76.0
459.303	4.648	stim	67.0	74.0
463.951	5.331	stim	29.0	58.0
469.282	4.98	stim	39.0	104.0
474.262	4.58	stim	33.0	103.0
478.842	5.53	stim	33.0	78.0
484.372	5.592	stim	74.0	52.0
489.964	5.797	stim	28.0	132.0
495.761	4.581	stim	28.0	59.0
500.342	5.12	stim	28.0	163.0
505.462	4.52	stim	32.0	74.0
509.982	4.86	stim	57.0	89.0
514.842	4.59	stim	70.0	108.0
519.432	5.4	stim	72.0	95.0
524.832	5.049	stim	30.0	36.0
529.881	4.721	stim	41.0	129.0
534.602	4.929	stim	78.0	129.0
539.531	4.921	stim	71.0	88.0
544.452	4.86	stim	65.0	159.0
549.312	5.12	stim	24.0	125.0
554.432	5.119	stim	58.0	36.0
559.551	4.711	stim	63.0	37.0
564.262	4.85	stim	75.0	41.0
569.112	4.85	stim	45.0	72.0
573.962	6.9	stim	25.0	74.0
580.862	4.58	stim	65.0	137.0
585.442	4.78	stim	49.0	140.0
590.222	7.029	stim	67.0	103.0
597.251	4.713	stim	69.0	172.0
601.964	5.198	stim	66.0	71.0
607.162	5.061	stim	71.0	176.0
612.223	9.197	end	stim	stim
