onset	duration	trial_type	large_amount	later_delay
0.0	1.008	fmri_buffer	stim	stim
1.008	1.506	test_start_block	stim	stim
2.514	5.849	stim	31.0	76.0
8.363	4.581	stim	43.0	19.0
12.944	4.64	stim	60.0	124.0
17.584	4.918	stim	27.0	142.0
22.502	4.521	stim	25.0	70.0
27.023	4.991	stim	44.0	92.0
32.014	4.929	stim	41.0	27.0
36.943	4.58	stim	64.0	89.0
41.523	4.521	stim	78.0	108.0
46.044	6.219	stim	80.0	145.0
52.263	4.71	stim	41.0	174.0
56.973	5.06	stim	42.0	145.0
62.033	5.059	stim	36.0	114.0
67.092	5.187	stim	58.0	55.0
72.279	4.993	stim	81.0	58.0
77.272	4.79	stim	32.0	111.0
82.062	4.78	stim	25.0	141.0
86.842	5.201	stim	67.0	23.0
92.043	5.199	stim	77.0	161.0
97.242	5.261	stim	55.0	163.0
102.503	4.58	stim	40.0	159.0
107.083	4.509	stim	76.0	161.0
111.592	4.921	stim	48.0	128.0
116.513	4.579	stim	39.0	95.0
121.092	6.211	stim	83.0	105.0
127.303	4.92	stim	67.0	41.0
132.223	5.269	stim	56.0	172.0
137.492	5.05	stim	28.0	123.0
142.542	4.641	stim	50.0	129.0
147.183	4.72	stim	23.0	61.0
151.903	4.64	stim	79.0	92.0
156.543	4.58	stim	61.0	141.0
161.123	4.591	stim	43.0	38.0
165.714	4.919	stim	66.0	145.0
170.633	4.85	stim	30.0	23.0
175.483	5.26	stim	32.0	57.0
180.743	4.789	stim	27.0	91.0
185.532	6.001	stim	43.0	120.0
191.533	5.601	stim	75.0	60.0
197.134	4.569	stim	34.0	176.0
201.703	5.12	stim	24.0	38.0
206.823	5.661	stim	82.0	74.0
212.484	4.579	stim	58.0	53.0
217.063	4.79	stim	54.0	23.0
221.853	5.05	stim	41.0	55.0
226.903	4.85	stim	77.0	142.0
231.753	5.19	stim	25.0	108.0
236.943	5.065	stim	33.0	163.0
242.008	4.994	stim	29.0	75.0
247.002	4.981	stim	45.0	157.0
251.983	5.33	stim	31.0	74.0
257.313	4.521	stim	80.0	39.0
261.834	5.05	stim	22.0	21.0
266.884	4.709	stim	52.0	139.0
271.593	4.86	stim	54.0	126.0
276.453	6.8	stim	23.0	176.0
283.253	4.52	stim	24.0	87.0
287.773	4.581	stim	36.0	140.0
292.354	4.709	stim	35.0	171.0
297.063	4.919	stim	34.0	43.0
301.982	4.58	stim	74.0	121.0
306.562	7.522	rest_block	stim	stim
314.084	5.799	stim	45.0	107.0
319.883	4.64	stim	77.0	24.0
324.523	4.581	stim	39.0	161.0
329.104	5.459	stim	62.0	180.0
334.563	5.39	stim	24.0	139.0
339.953	4.58	stim	58.0	72.0
344.533	6.29	stim	56.0	93.0
350.823	5.531	stim	45.0	26.0
356.354	4.589	stim	23.0	42.0
360.943	4.64	stim	50.0	41.0
365.583	4.64	stim	25.0	176.0
370.223	5.13	stim	54.0	22.0
375.353	5.32	stim	29.0	44.0
380.673	4.57	stim	24.0	89.0
385.243	4.579	stim	23.0	77.0
389.822	4.581	stim	27.0	130.0
394.403	4.849	stim	23.0	134.0
399.252	4.511	stim	55.0	107.0
403.763	5.67	stim	44.0	143.0
409.433	4.909	stim	23.0	110.0
414.342	4.641	stim	65.0	156.0
418.983	4.531	stim	22.0	27.0
423.514	4.519	stim	50.0	59.0
428.033	5.122	stim	85.0	129.0
433.155	6.148	stim	66.0	58.0
439.303	4.861	stim	49.0	172.0
444.164	4.589	stim	73.0	44.0
448.753	4.72	stim	58.0	73.0
453.473	5.88	stim	71.0	76.0
459.353	4.65	stim	67.0	74.0
464.003	5.33	stim	29.0	58.0
469.333	4.979	stim	39.0	104.0
474.312	4.591	stim	33.0	103.0
478.903	5.541	stim	33.0	78.0
484.444	5.6	stim	74.0	52.0
490.044	5.8	stim	28.0	132.0
495.844	4.589	stim	28.0	59.0
500.433	5.129	stim	28.0	163.0
505.562	4.522	stim	32.0	74.0
510.084	4.859	stim	57.0	89.0
514.943	4.581	stim	70.0	108.0
519.524	5.389	stim	72.0	95.0
524.913	5.06	stim	30.0	36.0
529.973	4.71	stim	41.0	129.0
534.683	4.92	stim	78.0	129.0
539.603	4.929	stim	71.0	88.0
544.532	4.86	stim	65.0	159.0
549.392	5.13	stim	24.0	125.0
554.522	5.122	stim	58.0	36.0
559.644	4.709	stim	63.0	37.0
564.353	4.85	stim	75.0	41.0
569.203	4.852	stim	45.0	72.0
574.055	6.889	stim	25.0	74.0
580.944	4.569	stim	65.0	137.0
585.513	4.781	stim	49.0	140.0
590.294	7.03	stim	67.0	103.0
597.324	4.709	stim	69.0	172.0
602.033	5.19	stim	66.0	71.0
607.223	5.051	stim	71.0	176.0
612.274	220.882	end	stim	stim
